file,n_issues,unique_rules,rules_top5,sev_counts
data_raw/solhint/json/0x39fde572a18448f8139b7788099f0a0740f51205.solhint.json,755,17,use-natspec:413;explicit-types:212;gas-custom-errors:31;quotes:21;gas-indexed-events:17,Warning:733;Error:21;UNKNOWN_SEV:1
data_raw/solhint/json/0xebd0070237a0713e8d94fef1b728d3d993d290ef.solhint.json,2,1,UNKNOWN_RULE:2,Error:1;UNKNOWN_SEV:1
data_raw/solhint/json/0xb26c86330fc7f97533051f2f8cd0a90c2e82b5ee.solhint.json,0,0,,
data_raw/solhint/json/0x72972b21ce425cfd67935e07c68e84300ce3f40f.solhint.json,351,16,use-natspec:192;explicit-types:92;quotes:22;gas-indexed-events:16;gas-strict-inequalities:6,Warning:328;Error:22;UNKNOWN_SEV:1
data_raw/solhint/json/0xbf682bd31a615123d28d611b38b0ae3d2b675c2c.solhint.json,0,0,,
data_raw/solhint/json/0xfc21d6d146e6086b8359705c8b28512a983db0cb.solhint.json,0,0,,
data_raw/solhint/json/0x2e44e174f7d53f0212823acc11c01a11d58c5bcb.solhint.json,0,0,,
data_raw/solhint/json/0xd29e76c6f15ada0150d10a1d3f45accd2098283b.solhint.json,0,0,,
data_raw/solhint/json/0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b.solhint.json,516,10,use-natspec:456;gas-small-strings:20;func-name-mixedcase:17;reason-string:12;gas-strict-inequalities:5,Warning:515;UNKNOWN_SEV:1
data_raw/solhint/json/0xf5a7de2d276dbda3eef1b62a9e718eff4d29ddc8.solhint.json,0,0,,
data_raw/solhint/json/0x6c987dde50db1dcdd32cd4175778c2a291978e2a.solhint.json,0,0,,
data_raw/solhint/json/0x69fa688f1dc47d4b5d8029d5a35fb7a548310654.solhint.json,0,0,,
data_raw/solhint/json/0x354a6da3fcde098f8389cad84b0182725c6c91de.solhint.json,0,0,,
data_raw/solhint/json/0xc00e94cb662c3520282e6f5717214004a7f26888.solhint.json,67,11,gas-small-strings:19;explicit-types:15;use-natspec:11;reason-string:6;const-name-snakecase:4,Warning:66;UNKNOWN_SEV:1
data_raw/solhint/json/0x19c0976f590d67707e62397c87829d896dc0f1f1.solhint.json,92,10,use-natspec:51;explicit-types:23;not-rely-on-time:5;gas-strict-inequalities:4;reason-string:3,Warning:91;UNKNOWN_SEV:1
data_raw/solhint/json/0x35d1b3f3d7966a1dfe207aa4514c12a259a0492b.solhint.json,151,7,use-natspec:67;explicit-types:43;gas-strict-inequalities:26;reason-string:9;no-inline-assembly:3,Warning:150;UNKNOWN_SEV:1
data_raw/solhint/json/0xcf50b810e57ac33b91dcf525c6ddd9881b139332.solhint.json,555,15,use-natspec:476;func-name-mixedcase:17;gas-small-strings:11;gas-strict-inequalities:7;reason-string:7,Warning:551;Error:3;UNKNOWN_SEV:1
data_raw/solhint/json/0x2c09fd74e80ce12bebbc8f56fab8633ea41c2bcc.solhint.json,0,0,,
data_raw/solhint/json/0x4b16d95ddf1ae4fe8227ed7b7e80cf13275e61c9.solhint.json,204,12,use-natspec:136;explicit-types:25;gas-small-strings:16;reason-string:13;gas-strict-inequalities:4,Warning:203;UNKNOWN_SEV:1
data_raw/solhint/json/0xaf88d065e77c8cc2239327c5edb3a432268e5831.solhint.json,0,0,,
data_raw/solhint/json/0xf25212e676d1f7f89cd72ffee66158f541246445.solhint.json,0,0,,
data_raw/solhint/json/0x2f16b22c839fa995375602562ba5dd15a22d349d.solhint.json,0,0,,
data_raw/solhint/json/0x98ef32edd24e2c92525e59afc4475c1242a30184.solhint.json,0,0,,
data_raw/solhint/json/0x643c4e15d7d62ad0abec4a9bd4b001aa3ef52d66.solhint.json,0,0,,
data_raw/solhint/json/0x250632378e573c6be1ac2f97fcdf00515d0aa91b.solhint.json,70,9,use-natspec:47;reason-string:7;gas-small-strings:6;visibility-modifier-order:3;gas-strict-inequalities:2,Warning:69;UNKNOWN_SEV:1
