slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found,stratum
stratis-liquid-staking,Stratis Liquid Staking,Liquid Staking,Stratis,Stratis,573963.2616110652,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Stratis
stratis-mstrax,Stratis mSTRAX,Liquid Staking,Stratis,Stratis,2981046.2901780577,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Stratis
stratum-exchange,Stratum Exchange,Dexs,Mantle,Mantle,2887.7624670734513,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Mantle
straxswap,StraxSwap,Dexs,Stratis,Stratis,34555.06176077162,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Stratis
stream-finance,Stream Finance,Yield,Ethereum,Ethereum,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Ethereum
streamflow,Streamflow,Payments,Solana,Solana;Aptos;Sui;Binance;Polygon;Ethereum,197965.65991696276,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Solana
stride,Stride,Liquid Staking,Cosmos,Cosmos;HAQQ;Osmosis;Celestia;BandChain;dYdX;Injective;Berachain;Juno;Dymension;Terra2;Evmos;Stargaze;Umee;Sommelier;Comdex;Stride,11093301.775012191,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Cosmos
stride-hyperlane,Stride Hyperlane,Bridge,Celestia,Celestia,157146.63714326022,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Celestia
strike,Strike,Lending,Ethereum,Ethereum,5320.934997715972,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Ethereum
strike-finance-forwards,Strike Finance Forwards,Derivatives,,,6891.694606743697,Q2,0,0,0,0,0,,,0,
strike-finance-perpetuals,Strike Finance Perpetuals,Derivatives,Cardano,Cardano,4731375.310290344,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Cardano
strikex,StrikeX,Farm,Binance,Binance,77.18264909102561,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Binance
strips-finance,Strips Finance,Derivatives,Arbitrum,Arbitrum,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Arbitrum
stronghands,Stronghands,Dexs,Cronos,Cronos;Binance;Polygon,684.6310831405817,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Cronos
stronghold-staked-sol,Stronghold Staked SOL,Liquid Staking,Solana,Solana,11357886.39064411,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Solana
struct-finance,Struct Finance,Yield,Avalanche,Avalanche,27012.410793204283,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Avalanche
structured-lsd,Structured LSD,Yield,Ethereum,Ethereum,58.44020635322335,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Ethereum
strudel-finance,Strudel Finance,Bridge,Ethereum,Ethereum,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Ethereum
strx-finance,STRX Finance,Liquid Staking,Tron,Tron,15889.78363811905,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Tron
stryke-clamm,Stryke CLAMM,Options,Arbitrum,Arbitrum;Sonic;Base;Blast;Mantle,218502.2939678795,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Arbitrum
stryke-ssov,Stryke SSOV,Options,Arbitrum,Arbitrum;Ethereum;Binance;Avalanche,15153.191545018926,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Arbitrum
sturdy-v1,Sturdy V1,Lending,Ethereum,Ethereum;Fantom,76697.43639503689,Q3,1,1,0,0,0,,,0,exploited=1|audited=0|tvl=Q3|chain=Ethereum
sturdy-v2,Sturdy V2,Lending,Mode,Mode;Flow;Ethereum;Linea;Optimism;Sei,620436.4475273921,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Mode
sturgeon,Sturgeon,Yield,re.al,re.al,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=re.al
stusdt,stUSDT,RWA,Tron,Tron;Ethereum,60553680.27482471,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Tron
substance-exchange,Substance Exchange,Derivatives,ZetaChain,ZetaChain;Arbitrum,35318.83281129143,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=ZetaChain
subunit,Subunit,RWA,Base,Base,4157.973074506214,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Base
subzero+,Subzero+,Reserve Currency,Avalanche,Avalanche,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Avalanche
subzero-zswap,Subzero ZSwap,Dexs,Avalanche,Avalanche,3421.6931251071346,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Avalanche
sudo-inu,Sudo Inu,Farm,Ethereum,Ethereum,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Ethereum
sudo-perps,Sudo Perps,Derivatives,Sui,Sui,493528.1088303574,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Sui
sudoswap-v1,Sudoswap V1,NFT Marketplace,Ethereum,Ethereum,655225.1837036035,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Ethereum
sudoswap-v2,Sudoswap V2,NFT Marketplace,Ethereum,Ethereum;Base;Sanko;Berachain;Arbitrum,410957.14890499815,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Ethereum
sugar-swap,Sugar Swap,Dexs,zkSync Era,zkSync Era,273.2216597110874,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=zkSync Era
sugarswap,SugarSwap,Dexs,Arbitrum,Arbitrum,12459.098322497695,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Arbitrum
sui-foundation,Sui Foundation,Canonical Bridge,,,0.0,Q1,0,0,0,0,0,,,0,
sui-pearl,Sui Pearl,Yield Aggregator,Sui,Sui,29529.37917330744,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Sui
sui-rewards-me,Sui Rewards Me,Launchpad,Sui,Sui,19918.53132212009,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Sui
suibridge,SuiBridge,Canonical Bridge,Ethereum,Ethereum,141354332.63018566,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Ethereum
suidollar,SuiDollar,Basis Trading,Sui,Sui,250525.1585069147,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Sui
suilend,Suilend,Lending,Sui,Sui,259535338.06450796,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Sui
suimarket,SuiMarket,Prediction Market,Sui,Sui,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Sui
suite,SUITE,Trading App,,,0.0,Q1,0,0,0,0,0,,,0,
sumer.money,Sumer.money,Lending,Berachain,Berachain;Ethereum;CORE;Arbitrum;Goat;Meter;Base;zkLink;Hemi;Binance;Bitlayer;Monad;BSquared,2815280.9130742503,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Berachain
summer.fi-pro,Summer.fi Pro,CDP Manager,Ethereum,Ethereum;Arbitrum;Base;Optimism,62588808.77247444,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Ethereum
summit-defi,Summit Defi,Yield,Fantom,Fantom,161.12373560364625,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Fantom
summitx-finance,SummitX Finance,Dexs,Camp,Camp,7213.40484617609,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Camp
sumswap,SumSwap,Dexs,Ethereum,Ethereum,86966.6657575561,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Ethereum
sun.io,SUN.io,Dexs,Tron,Tron,854055.2558608205,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Tron
sundaeswap-v2,SundaeSwap V2,Dexs,Cardano,Cardano,1077231.4813570613,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Cardano
sundaeswap-v3,SundaeSwap V3,Dexs,Cardano,Cardano,6754081.398439591,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Cardano
sunflower-finance,SunFlower Finance,Dexs,Binance,Binance,138.17338328977806,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Binance
sunflowerswap,SunflowerSwap,Farm,Moonbeam,Moonbeam,941.4921691717786,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Moonbeam
sunny,Sunny,Yield,Solana,Solana,3283234.2716094563,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Solana
sunpump,SunPump,Launchpad,Tron,Tron,1893163.0423425743,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Tron
sunrise-gaming,Sunrise Gaming,Luck Games,Ethereum,Ethereum,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Ethereum
sunswap-v1,SUNSwap V1,Dexs,Tron,Tron,56503942.601956,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Tron
sunswap-v2,SUNSwap V2,Dexs,Tron,Tron,246899336.92122927,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Tron
sunswap-v3,SUNSwap V3,Dexs,Tron,Tron,177580992.70415178,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Tron
super-dca,Super DCA,DCA Tools,Optimism,Optimism;Unichain;Base,4832.252152923028,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Optimism
superboring,SuperBoring,DEX Aggregator,,,0.0,Q1,0,0,0,0,0,,,0,
superbots,SuperBots,Yield Aggregator,Ethereum,Ethereum;Binance,829.2929208192609,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Ethereum
superchain,Superchain,Services,,,0.0,Q1,0,0,0,0,0,,,0,
superdapp,SuperDapp,Farm,Rollux,Rollux,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Rollux
