slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found
quasarswap,QuasarSwap,Dexs,Nova Network,Nova Network,0.0,Q1,0,0,0,0,0,,,0
nuls-pocm,NULS POCM,Services,Nuls,Nuls,0.0,Q1,0,0,0,0,0,,,0
nuls,Nuls,Chain,Nuls,Nuls,0.0,Q1,0,0,0,0,0,,,0
xensa,Xensa,Lending,OKExChain,OKExChain,0.0,Q1,0,0,0,0,0,,,0
okc-liquid-staking,OKC Liquid Staking,Liquid Staking,OKExChain,OKExChain,0.0,Q1,0,0,0,0,0,,,0
ssap,SSAP,Lending,Oasis,Oasis;CLV,1.003219546661836,Q1,0,0,0,0,0,,,0
heraswap,Heraswap,Dexs,Onus,Onus,0.0,Q1,0,0,0,0,0,,,0
omt-finance,OMT Finance,Derivatives,Onus,Onus,0.0,Q1,0,0,0,0,0,,,0
defily-dex,Defily Dex,Dexs,Onus,Onus,0.0,Q1,0,0,0,0,0,,,0
miaswap,MiaSwap,Dexs,Onus,Onus,0.0,Q1,0,0,0,0,0,,,0
balloonswap,BalloonSwap,Dexs,Op_Bnb,Op_Bnb,1.763026498214373e-15,Q1,0,0,0,0,0,,,0
pyswap,PySwap,Dexs,Op_Bnb,Op_Bnb,0.0,Q1,0,0,0,0,0,,,0
white-protocol,White Protocol,Farm,Op_Bnb,Op_Bnb,0.0001893434365302,Q1,0,0,0,0,0,,,0
tempest-capital,Tempest Capital,Lending,Optimism,Optimism;Base,0.972585515186958,Q1,0,0,0,0,0,,,0
neuron,neuron,Bridge,Optimism,Optimism;Base;Linea;Arbitrum,0.0,Q1,0,0,0,0,0,,,0
opx-finance,OPX Finance,Derivatives,Optimism,Optimism,0.0,Q1,0,0,0,0,0,,,0
cthulhu.finance,Cthulhu.Finance,Yield Aggregator,Optimism,Optimism,0.0588177428820368,Q1,0,0,0,0,0,,,0
superswap-v2,SuperSwap V2,Dexs,Optimism,Optimism,0.0086465166113085,Q1,0,0,0,0,0,,,0
mystic-finance-myplume,Mystic Finance myPLUME,Liquid Staking,Plume Mainnet,Plume Mainnet,1.035637139430985,Q1,0,0,0,0,0,,,0
hades-swap,Hades Swap,Dexs,Polis,Polis,0.0,Q1,0,0,0,0,0,,,0
infy-protocol,Infy Protocol,NFT Lending,Polygon,Polygon;Kava,1.0413554094830109,Q1,0,0,0,0,0,,,0
sapphire-mine,Sapphire Mine,Yield,Polygon,Polygon,1.0973297631786505,Q1,0,0,0,0,0,,,0
tetu-pawnshop,Tetu Pawnshop,NFT Lending,Polygon,Polygon,0.3539798599204135,Q1,0,0,0,0,0,,,0
dawn-star-finance,Dawn Star Finance,Algo-Stables,Polygon,Polygon,0.0,Q1,0,0,0,0,0,,,0
solid-world,Solid World,RWA,Polygon,Polygon,0.0,Q1,0,0,0,0,0,,,0
quickperps,QuickPerps,Derivatives,Polygon zkEVM,Polygon zkEVM,0.0,Q1,0,0,0,0,0,,,0
quickswap-hydra,Quickswap Hydra,Dexs,Polygon zkEVM,Polygon zkEVM;Manta,0.0,Q1,0,0,0,0,0,,,0
vaporwave,Vaporwave,Yield Aggregator,Polygon zkEVM,Polygon zkEVM;Arbitrum;Aurora,0.0,Q1,0,0,0,0,0,,,0
soarpls,SoarPLS,Staking Pool,Pulse,Pulse,0.4896344735359642,Q1,0,0,0,0,0,,,0
component-swap,Component Swap,Dexs,Pulse,Pulse,0.0,Q1,0,0,0,0,0,,,0
pulsegun-amm,PulseGun AMM,Dexs,Pulse,Pulse,0.5163761442473117,Q1,0,0,0,0,0,,,0
bluemeteor,BlueMeteor,Dexs,Pulse,Pulse,0.0016033107125765,Q1,0,0,0,0,0,,,0
solidpulse,SolidPulse,Dexs,Pulse,Pulse,9.841925250022338e-18,Q1,0,0,0,0,0,,,0
qomswap,QOMSWAP,Dexs,QL1,QL1,0.0,Q1,0,0,0,0,0,,,0
rootstock-collective,Rootstock Collective,Governance Incentives,RSK,RSK,0.0,Q1,0,0,0,0,0,,,0
openswap-vsl,Openswap VSL,Dexs,RSS3,RSS3,0.0,Q1,0,0,0,0,0,,,0
rangers-bridge,Rangers Bridge,Bridge,Rangers,Rangers,0.0,Q1,0,0,0,0,0,,,0
