slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found
velocimeter-v4,Velocimeter V4,Dexs,IOTA EVM,IOTA EVM,10416.247704042991,Q2,0,0,0,0,0,,,0
iolend,IOLEND,Lending,IOTA EVM,IOTA EVM,13621.337617990712,Q2,0,0,0,0,0,,,0
warpgate,WarpGate,Dexs,Immutable zkEVM,Immutable zkEVM,1500.767951066175,Q2,0,0,0,0,0,,,0
milkyway-rollup-bridge,Milkyway Rollup Bridge,Canonical Bridge,Initia,Initia,9843.869908970011,Q2,0,0,0,0,0,,,0
ilend-v1,iLend V1,Lending,Injective,Injective,1839.1233708696907,Q2,0,0,0,0,0,,,0
ilend-v2,iLend V2,Lending,Injective,Injective,154.2189293638901,Q2,0,0,0,0,0,,,0
injera,Injera,CDP,Injective,Injective,1951.2585017687072,Q2,0,0,0,0,0,,,0
interlay-dex,Interlay Dex,Dexs,Interlay,Interlay,4255.1788243825695,Q2,0,0,0,0,0,,,0
interlay-collateral,Interlay Collateral,Cross Chain Bridge,Interlay,Interlay,4264.91317029871,Q2,0,0,0,0,0,,,0
quenta,Quenta,Derivatives,IoTeX,IoTeX,967.1017790166484,Q2,0,0,0,0,0,,,0
loxodrome-perp,Loxodrome Perp,Derivatives,IoTeX,IoTeX,1960.0861477112944,Q2,0,0,0,0,0,,,0
jibswap,JIBSWAP,Dexs,JBC,JBC,2987.209339359703,Q2,0,0,0,0,0,,,0
jiblend,JIBLEND,Lending,JBC,JBC,624.2556155160034,Q2,0,0,0,0,0,,,0
joltify-lend,Joltify Lend,Lending,Joltify,Joltify,5653.6873534430815,Q2,0,0,0,0,0,,,0
sleepearn-finance,SleepEarn Finance,Yield,Kardia,Kardia,625.4790973389988,Q2,0,0,0,0,0,,,0
becoswap,BecoSwap,Dexs,Kardia,Kardia,2008.5563151189333,Q2,0,0,0,0,0,,,0
surfswap-classic,Surfswap Classic,Dexs,Kava,Kava,226.1172492840961,Q2,0,0,0,0,0,,,0
lockless-protocol,Lockless Protocol,Liquid Staking,Kava,Kava;Echelon,1114.1188966640525,Q2,0,0,0,0,0,,,0
coffer-city,Coffer City,Services,Kava,Kava,10.963285062347426,Q2,0,0,0,0,0,,,0
line-token,LINE Token,CDP,Kava,Kava,7217.178723672393,Q2,0,0,0,0,0,,,0
kasava-dex,Kasava Dex,Dexs,Kava,Kava,4.592086546614093,Q2,0,0,0,0,0,,,0
kaiafun,KaiaFun,Launchpad,Klaytn,Klaytn,5192.030819901603,Q2,0,0,0,0,0,,,0
klap,Klap,Lending,Klaytn,Klaytn,173.1423014241787,Q2,0,0,0,0,0,,,0
weero-v2,Weero V2,Dexs,Klaytn,Klaytn,8230.58376828779,Q2,0,0,0,0,0,,,0
neuronswap,Neuronswap,Dexs,Klaytn,Klaytn,4491.097075527159,Q2,0,0,0,0,0,,,0
shoebill-v1,Shoebill V1,Lending,Klaytn,Klaytn;Kava,7743.4338958236385,Q2,0,0,0,0,0,,,0
abcdefx,ABcDeFX,Dexs,Kucoin,Kucoin;Fantom;Kava;MultiVAC;Echelon,32.14911763067502,Q2,0,0,0,0,0,,,0
black-whale,Black Whale,Yield,Kujira,Kujira,1421.4778289690237,Q2,0,0,0,0,0,,,0
fuzion-ignition,Fuzion Ignition,Launchpad,Kujira,Kujira,2.3178553711922745,Q2,0,0,0,0,0,,,0
fuzion-plasma,Fuzion Plasma,Services,Kujira,Kujira,108.5629344143398,Q2,0,0,0,0,0,,,0
sigmaswap,SigmaSwap,Bridge,LUKSO,LUKSO,5874.855874799823,Q2,0,0,0,0,0,,,0
zkex,ZKEX,Dexs,Linea,Linea;Avalanche;Arbitrum;Base;Binance;Polygon;Op_Bnb;zkSync Era;Optimism,2.0466680762820415,Q2,0,0,0,0,0,,,0
satori-spots,Satori Spots,Dexs,Linea,Linea;Base;X Layer,3191.2969843431356,Q2,0,0,0,0,0,,,0
3a-dao,3A DAO,CDP,Linea,Linea;Polygon,9379.554551288717,Q2,0,0,0,0,0,,,0
moth-finance,Moth Finance,Algo-Stables,Linea,Linea,5.0989251102252435,Q2,0,0,0,0,0,,,0
linehub-v2,LineHub V2,Dexs,Linea,Linea,352.31100107807777,Q2,0,0,0,0,0,,,0
zukeswap,ZukeSwap,Dexs,Loop,Loop,298.2361326225528,Q2,0,0,0,0,0,,,0
yaakoswap,Yaakoswap,Dexs,MTT Network,MTT Network,23.327080948515277,Q2,0,0,0,0,0,,,0
rivera-money,Rivera Money,Liquidity manager,Manta,Manta;Degen;Arbitrum;Mantle;Telos;CORE;Polygon;BSquared,11646.676803359338,Q2,0,0,0,0,0,,,0
circlepacific,CirclePacific,Dexs,Manta,Manta,9.021000720314085,Q2,0,0,0,0,0,,,0
memeta,Memeta,Launchpad,Manta,Manta,2329.3930178791206,Q2,0,0,0,0,0,,,0
ceto-swap,Ceto Swap,Dexs,Manta,Manta,9765.820648575414,Q2,0,0,0,0,0,,,0
zendex,ZenDEX,CDP,Manta,Manta,538.1666933939239,Q2,0,0,0,0,0,,,0
mantadex,MantaDEX,Dexs,Manta Atlantic,Manta Atlantic,2243.2457498016,Q2,0,0,0,0,0,,,0
ammos-finance,Ammos Finance,Dexs,Mantle,Mantle,2414.461334553242,Q2,0,0,0,0,0,,,0
chat3,Chat3,SoFi,Mantle,Mantle,11619.797330807256,Q2,0,0,0,0,0,,,0
esper-finance,Esper Finance,Dexs,Mantle,Mantle,27.252243084127617,Q2,0,0,0,0,0,,,0
swapsicle-v2,Swapsicle V2,Dexs,Mantle,Mantle;Telos;Taiko,10327.110663773392,Q2,0,0,0,0,0,,,0
methlab,MethLab,Lending,Mantle,Mantle,10791.970196597937,Q2,0,0,0,0,0,,,0
luckystake.app,LuckyStake.app,Yield Lottery,Mantra,Mantra,478.991466741022,Q2,0,0,0,0,0,,,0
satsat,Satsat,Farm,Map,Map,689.2735069533798,Q2,0,0,0,0,0,,,0
hiveswap-v2,HiveSwap V2,Dexs,Map,Map,1944.193105564534,Q2,0,0,0,0,0,,,0
eaglefi,EagleFi,Dexs,Massa,Massa,11888.962459691367,Q2,0,0,0,0,0,,,0
p2pflip,P2PFlip,Luck Games,Matchain,Matchain,75.90055785272355,Q2,0,0,0,0,0,,,0
bitgenie-farm,BitGenie Farm,Farm,Merlin,Merlin,5862.26209985028,Q2,0,0,0,0,0,,,0
jioswap,JioSwap,Dexs,Meter,Meter;Ethereum;GodwokenV1,27.119137909273284,Q2,0,0,0,0,0,,,0
agora,Agora,Lending,Metis,Metis,7909.855089755016,Q2,0,0,0,0,0,,,0
arena-of-faith,Arena of Faith,Farm,Metis,Metis,175.24234217165417,Q2,0,0,0,0,0,,,0
hummus-amm,Hummus AMM,Dexs,Metis,Metis,506.7680246970471,Q2,0,0,0,0,0,,,0
athena-finance,Athena Finance,Yield,Metis,Metis,3007.2226761941715,Q2,0,0,0,0,0,,,0
drachma,Drachma,Dexs,Metis,Metis,5278.263565405738,Q2,0,0,0,0,0,,,0
brightside,BrightSide,Dexs,Milkomeda A1,Milkomeda A1,1145.6817721721031,Q2,0,0,0,0,0,,,0
mintswap-finance,MintSwap Finance,Dexs,Mint,Mint,13640.91180946531,Q2,0,0,0,0,0,,,0
hodl-fox,Hodl Fox,Services,Mixin,Mixin,1.16,Q2,0,0,0,0,0,,,0
supswap-v2,SupSwap V2,Dexs,Mode,Mode,892.2178720577193,Q2,0,0,0,0,0,,,0
print3r,PRINT3R,Derivatives,Mode,Mode;Base,9.817804516447772,Q2,0,0,0,0,0,,,0
ebisu-v1,Ebisu V1,CDP,Mode,Mode;Ethereum,8979.952798063634,Q2,0,0,0,0,0,,,0
netweave-vaults,NetWeave Vaults,Yield,Mode,Mode,9.997018718038088,Q2,0,0,0,0,0,,,0
modswap,Modswap,Dexs,Mode,Mode,36.025675473486814,Q2,0,0,0,0,0,,,0
narwhal-finance,Narwhal Finance,Derivatives,Monad,Monad;Arbitrum;Binance,1657.434957486358,Q2,0,0,0,0,0,,,0
sunflowerswap,SunflowerSwap,Farm,Moonbeam,Moonbeam,941.4921691717786,Q2,0,0,0,0,0,,,0
beamex-perps,Beamex Perps,Derivatives,Moonbeam,Moonbeam,5083.963359652296,Q2,0,0,0,0,0,,,0
manhattan,Manhattan,Yield,Moonbeam,Moonbeam;Polygon,650.9836409702575,Q2,0,0,0,0,0,,,0
1beam,1Beam,Dexs,Moonbeam,Moonbeam,3303.7574681172773,Q2,0,0,0,0,0,,,0
zoodao,ZooDAO,Yield,Moonbeam,Moonbeam;Arbitrum,9023.9835941058,Q2,0,0,0,0,0,,,0
moonchain-swap,Moonchain Swap,Dexs,Moonchain,Moonchain,135.34139828388874,Q2,0,0,0,0,0,,,0
1swap,1Swap,Dexs,Moonriver,Moonriver,974.7834496538154,Q2,0,0,0,0,0,,,0
freeriver,FreeRiver,Dexs,Moonriver,Moonriver,7232.513007110165,Q2,0,0,0,0,0,,,0
seadex,SeaDex,Dexs,Moonriver,Moonriver,1514.815566696415,Q2,0,0,0,0,0,,,0
huckleberry-lending,Huckleberry Lending,Lending,Moonriver,Moonriver,9048.962605832065,Q2,0,0,0,0,0,,,0
scion-finance,Scion Finance,Yield Aggregator,Moonriver,Moonriver;Fantom,1596.548509505268,Q2,0,0,0,0,0,,,0
quokkalend,QuokkaLend,Lending,Morph,Morph,36.88548871086527,Q2,0,0,0,0,0,,,0
momodrome,Momodrome,Dexs,Morph,Morph,7610.021989616051,Q2,0,0,0,0,0,,,0
interest-dex,Interest DEX,Dexs,Movement,Movement,22.417677919287875,Q2,0,0,0,0,0,,,0
interest-curve,Interest Curve,Dexs,Movement,Movement,5138.548618391916,Q2,0,0,0,0,0,,,0
lazyfi,LazyFi,Gaming,Near,Near,25.69608767268239,Q2,0,0,0,0,0,,,0
meme-cooking,Meme Cooking,Launchpad,Near,Near,1703.6797860809236,Q2,0,0,0,0,0,,,0
spin-perps,Spin Perps,Derivatives,Near,Near,9788.420992252688,Q2,0,0,0,0,0,,,0
nearlend-dao,Nearlend DAO,Lending,Near,Near,10.840250931160638,Q2,0,0,0,0,0,,,0
spin-dov,Spin DOV,Options Vault,Near,Near,12658.664954895348,Q2,0,0,0,0,0,,,0
carrot-swap,Carrot Swap,Dexs,Neo X Mainnet,Neo X Mainnet,12536.272585255756,Q2,0,0,0,0,0,,,0
asteroneo,Asteroneo,Dexs,Neo X Mainnet,Neo X Mainnet,1860.0883465112777,Q2,0,0,0,0,0,,,0
lumen-money,Lumen Money,Lending,Neon,Neon,9950.594557397715,Q2,0,0,0,0,0,,,0
moraswap-v2,Moraswap V2,Dexs,Neon,Neon,11466.45600240029,Q2,0,0,0,0,0,,,0
moraswap-v3,Moraswap V3,Dexs,Neon,Neon,6236.72042200965,Q2,0,0,0,0,0,,,0
eclipsefi,EclipseFi,Launchpad,Neutron,Neutron,9894.066178394336,Q2,0,0,0,0,0,,,0
ngmi-zone,NGMI Zone,Luck Games,Neutron,Neutron,31.67351477642625,Q2,0,0,0,0,0,,,0
apollodao,ApolloDAO,Yield,Neutron,Neutron;Osmosis;Terra,10940.345815879908,Q2,0,0,0,0,0,,,0
nfa-zone,NFA Zone,Launchpad,Neutron,Neutron,728.9576443101646,Q2,0,0,0,0,0,,,0
elyx-finance,Elyx Finance,Indexes,Nibiru,Nibiru,4554.592902692497,Q2,0,0,0,0,0,,,0
nebula-lending,Nebula Lending,Lending,Nibiru,Nibiru,573.648593577374,Q2,0,0,0,0,0,,,0
omniswap,OmniSwap,Dexs,Nibiru,Nibiru,97.6053556987902,Q2,0,0,0,0,0,,,0
flux-protocol,Flux Protocol,Lending,OKExChain,OKExChain;Binance;Polygon;Arbitrum;Ethereum;Conflux,71.63045172744869,Q2,0,0,0,0,0,,,0
oakfarm,OakFarm,Yield,OKExChain,OKExChain,20.20653036756261,Q2,0,0,0,0,0,,,0
dogeclaw,DogeClaw,Gaming,OKExChain,OKExChain,9.983594417415787,Q2,0,0,0,0,0,,,0
klend,KLend,Lending,OKExChain,OKExChain;Binance,1447.0128382959713,Q2,0,0,0,0,0,,,0
oaswap,Oaswap,Dexs,Oasis,Oasis,539.3645532648515,Q2,0,0,0,0,0,,,0
valleyswap,ValleySwap,Dexs,Oasis,Oasis,105.4830768655686,Q2,0,0,0,0,0,,,0
sahara-exchange,Sahara Exchange,Dexs,Oasis,Oasis,107.20366631672736,Q2,0,0,0,0,0,,,0
lizard,Lizard,Dexs,Oasis,Oasis,876.5145403969443,Q2,0,0,0,0,0,,,0
tulip,Tulip,Algo-Stables,Oasis,Oasis,12667.3827189432,Q2,0,0,0,0,0,,,0
tealswap-v2,Tealswap V2,Dexs,Oasys,Oasys,4046.942433090359,Q2,0,0,0,0,0,,,0
oas-jumbo,OAS Jumbo,Farm,Oasys,Oasys,9500.870062011028,Q2,0,0,0,0,0,,,0
kivach,Kivach,Payments,Obyte,Obyte,678.4597993430383,Q2,0,0,0,0,0,,,0
prophet,Prophet,Prediction Market,Obyte,Obyte,1326.5594053543928,Q2,0,0,0,0,0,,,0
pythagorean,Pythagorean,Dexs,Obyte,Obyte,257.47635913424983,Q2,0,0,0,0,0,,,0
omax-swap,Omax Swap,Dexs,Omax,Omax,13945.60049153593,Q2,0,0,0,0,0,,,0
opbanana,opBANANA,Dexs,Op_Bnb,Op_Bnb,88.62823162882157,Q2,0,0,0,0,0,,,0
v2swap,v2swap,Dexs,Op_Bnb,Op_Bnb,43.14910163329879,Q2,0,0,0,0,0,,,0
allinxswap,AllInXSwap,Dexs,Op_Bnb,Op_Bnb;Binance,366.78659191985616,Q2,0,0,0,0,0,,,0
xops-finance,Xops Finance,Dexs,Op_Bnb,Op_Bnb,186.2773550244337,Q2,0,0,0,0,0,,,0
grokswap,GrokSwap,Dexs,Op_Bnb,Op_Bnb,6.029183860764129,Q2,0,0,0,0,0,,,0
2pi-network,2Pi Network,Yield,Optimism,Optimism;Polygon;Binance;Avalanche,2390.645429893856,Q2,0,0,0,0,0,,,0
synthetix-v1+v2,Synthetix v1+v2,Synthetics,Optimism,Optimism;Ethereum,1789.2176490690797,Q2,0,0,0,0,0,,,0
superswap-v3,SuperSwap V3,Dexs,Optimism,Optimism,542.7387116357232,Q2,0,0,0,0,0,,,0
betmode,BetMode,Luck Games,Optimism,Optimism;Mode;Base,945.0204454289872,Q2,0,0,0,0,0,,,0
lemma,Lemma,Derivatives,Optimism,Optimism,9966.724234659485,Q2,0,0,0,0,0,,,0
ibcx,IBCX,Indexes,Osmosis,Osmosis,4657.69326836836,Q2,0,0,0,0,0,,,0
machinex-legacy,MachineX Legacy,Dexs,Peaq,Peaq,12061.038853604146,Q2,0,0,0,0,0,,,0
penumbra-dex,Penumbra Dex,Dexs,Penumbra,Penumbra,10999.3843775574,Q2,0,0,0,0,0,,,0
physica-finance,Physica Finance,Dexs,Planq,Planq,2406.174552344141,Q2,0,0,0,0,0,,,0
ciento-exchange,Ciento Exchange,Dexs,Planq,Planq,3303.8684577847425,Q2,0,0,0,0,0,,,0
fuseon,Fuseon,Dexs,Plasma,Plasma,5298.874685409311,Q2,0,0,0,0,0,,,0
fractit-fleet,Fractit Fleet,RWA,Plume Mainnet,Plume Mainnet;Botanix,9.007443195509074,Q2,0,0,0,0,0,,,0
iziswap-classic,iZiSwap Classic,Dexs,Plume Mainnet,Plume Mainnet,158.4073216699823,Q2,0,0,0,0,0,,,0
legacy-canary-protocol,Legacy Canary Protocol,Yield Aggregator,Plume Mainnet,Plume Mainnet,8543.028760002428,Q2,0,0,0,0,0,,,0
smartdex,SmartDEX,Dexs,Polygon,Polygon,8951.524315962639,Q2,0,0,0,0,0,,,0
vesq,Vesq,Reserve Currency,Polygon,Polygon,2.4548131673470857,Q2,0,0,0,0,0,,,0
ajira-pay-finance-v1,Ajira Pay Finance V1,Payments,Polygon,Polygon;Kava,36.63206240288253,Q2,0,0,0,0,0,,,0
polyshield,PolyShield,Yield,Polygon,Polygon,11016.581221218208,Q2,0,0,0,0,0,,,0
bob-cdp,BOB CDP,CDP,Polygon,Polygon,612.6541181241345,Q2,0,0,0,0,0,,,0
zkdefi,zkDefi,Dexs,Polygon zkEVM,Polygon zkEVM,61.810162567710854,Q2,0,0,0,0,0,,,0
dirac-finance,Dirac Finance,Options Vault,Polygon zkEVM,Polygon zkEVM,2084.0131689550967,Q2,0,0,0,0,0,,,0
sandyswap,SandySwap,Dexs,Polygon zkEVM,Polygon zkEVM,751.1564880563313,Q2,0,0,0,0,0,,,0
cygnusdao,CygnusDAO,Lending,Polygon zkEVM,Polygon zkEVM;Polygon;Arbitrum,2340.883917735682,Q2,0,0,0,0,0,,,0
tropykus-zkevm,Tropykus zkEVM,Lending,Polygon zkEVM,Polygon zkEVM,2893.85786701705,Q2,0,0,0,0,0,,,0
pryzm-protocol,Pryzm Protocol,Yield,Pryzm,Pryzm,10717.10941171237,Q2,0,0,0,0,0,,,0
plsprint,PlsPrint,Staking Pool,Pulse,Pulse,6.036773826365815,Q2,0,0,0,0,0,,,0
shibshift,ShibShift,Dexs,Pulse,Pulse,3414.188430602174,Q2,0,0,0,0,0,,,0
1pulse,1Pulse,Dexs,Pulse,Pulse,7.126674169151049,Q2,0,0,0,0,0,,,0
yieldpulse-finance,YieldPulse Finance,Farm,Pulse,Pulse,168.32937467934346,Q2,0,0,0,0,0,,,0
eazyswap,EazySwap,Dexs,Pulse,Pulse,2047.5916459757152,Q2,0,0,0,0,0,,,0
q-infinity,Q Infinity,Farm,Q Protocol,Q Protocol,2249.2738594947295,Q2,0,0,0,0,0,,,0
q-borrowing,Q Borrowing,Lending,Q Protocol,Q Protocol,9381.00690407208,Q2,0,0,0,0,0,,,0
oortswap,OortSwap,Dexs,REI,REI,1191.7402290289815,Q2,0,0,0,0,0,,,0
nava-finance,Nava finance,Algo-Stables,REI,REI,416.1938047136469,Q2,0,0,0,0,0,,,0
blindex,Blindex,Algo-Stables,RSK,RSK,13683.252275438064,Q2,0,0,0,0,0,,,0
flux,Flux,CDP,Radix,Radix,10945.002749846231,Q2,0,0,0,0,0,,,0
stab-protocol,STAB Protocol,CDP,Radix,Radix,5619.498845998356,Q2,0,0,0,0,0,,,0
gable-finance,Gable Finance,Yield,Radix,Radix,4632.096420293144,Q2,0,0,0,0,0,,,0
astrolescent,Astrolescent,Dexs,Radix,Radix,210.79512182613473,Q2,0,0,0,0,0,,,0
srwa-lending,SRWA Lending,Lending,Radix,Radix,879.059600734457,Q2,0,0,0,0,0,,,0
tradeogre,TradeOgre,CEX,Ripple,Ripple;Ethereum;Tron;Avalanche;Polygon;Binance,422.3625368675641,Q2,0,0,0,0,0,,,0
firi,Firi,CEX,Ripple,Ripple;Ethereum;Cardano;Solana;Bitcoin,41.33352645721633,Q2,0,0,0,0,0,,,0
vine-money,Vine Money,CDP,Sapphire,Sapphire,2979.939668702289,Q2,0,0,0,0,0,,,0
neby-dex,NEBY DEX,Dexs,Sapphire,Sapphire,4722.381090915303,Q2,0,0,0,0,0,,,0
lolpad-finance,LolPad Finance,Dexs,Scroll,Scroll,3.91076130657592,Q2,0,0,0,0,0,,,0
voltageswap,VoltageSwap,Dexs,Scroll,Scroll,93.06195113197532,Q2,0,0,0,0,0,,,0
loanshark-core,Loanshark Core,Lending,Scroll,Scroll,12751.3799982415,Q2,0,0,0,0,0,,,0
scroll-swap,Scroll Swap,Dexs,Scroll,Scroll,9182.426768082256,Q2,0,0,0,0,0,,,0
asteria-finance,Asteria Finance,Dexs,Scroll,Scroll,220.81860601298655,Q2,0,0,0,0,0,,,0
seaswap,SeaSwap,Dexs,Sei,Sei,615.9085924819462,Q2,0,0,0,0,0,,,0
citrex-markets,Citrex Markets,Derivatives,Sei,Sei,1908.4377750464232,Q2,0,0,0,0,0,,,0
kawa-finance,Kawa Finance,Lending,Sei,Sei,788.7608988716535,Q2,0,0,0,0,0,,,0
apollon,Apollon,Synthetics,Sei,Sei,4621.681435465034,Q2,0,0,0,0,0,,,0
kuraswap-legacy,KuraSwap Legacy,Dexs,Sei,Sei,36.900608371390064,Q2,0,0,0,0,0,,,0
multex,MultEX,Dexs,Shape,Shape,112.09745182206792,Q2,0,0,0,0,0,,,0
ball-exchange,Ball Exchange,Dexs,Shibarium,Shibarium,109.00830879880354,Q2,0,0,0,0,0,,,0
bondle,Bondle,Launchpad,Shibarium,Shibarium,112.64612182392888,Q2,0,0,0,0,0,,,0
woof-finance,Woof Finance,Dexs,Shibarium,Shibarium,336.3891152800403,Q2,0,0,0,0,0,,,0
dalmatian,Dalmatian,Dexs,Shibarium,Shibarium,327.603658322705,Q2,0,0,0,0,0,,,0
shibex,Shibex,Dexs,Shibarium,Shibarium,7151.598565433401,Q2,0,0,0,0,0,,,0
kaco-finance,KACO Finance,Dexs,Shiden,Shiden;Binance,13767.414308558324,Q2,0,0,0,0,0,,,0
iotabee,Iotabee,Dexs,ShimmerEVM,ShimmerEVM,9519.514699677704,Q2,0,0,0,0,0,,,0
tangleswap,TangleSwap,Dexs,ShimmerEVM,ShimmerEVM;Milkomeda,1635.6766743450858,Q2,0,0,0,0,0,,,0
accumulator,Accumulator,Yield Aggregator,ShimmerEVM,ShimmerEVM,2165.0761195816435,Q2,0,0,0,0,0,,,0
swapline-v1,Swapline V1,Dexs,ShimmerEVM,ShimmerEVM;Optimism;Fantom;Base;Arbitrum;Polygon zkEVM,3179.076648804328,Q2,0,0,0,0,0,,,0
fizzswap-v3,Fizzswap V3,Dexs,Silicon zkEVM,Silicon zkEVM,6172.232304997906,Q2,0,0,0,0,0,,,0
fizzswap-v2,Fizzswap V2,Dexs,Silicon zkEVM,Silicon zkEVM,1904.6036950799064,Q2,0,0,0,0,0,,,0
beluga-protocol,Beluga Protocol,Dexs,Solana,Solana,302.38681465544,Q2,0,0,0,0,0,,,0
opendelta-perpetual-bond,OpenDelta Perpetual Bond,Basis Trading,Solana,Solana,12.29741232557116,Q2,0,0,0,0,0,,,0
goosefx-v1,GooseFX V1,Dexs,Solana,Solana,54.501222610311586,Q2,0,0,0,0,0,,,0
boop.fun,boop.fun,Launchpad,Solana,Solana,12723.46963258518,Q2,0,0,0,0,0,,,0
renec-lend,Renec Lend,Lending,Solana,Solana;RENEC,11031.95403249613,Q2,0,0,0,0,0,,,0
standard-spot-clob,Standard Spot CLOB,Dexs,Somnia,Somnia,173.66968443602127,Q2,0,0,0,0,0,,,0
copump,Copump,Launchpad,Soneium,Soneium;Morph;Linea;Taiko;Sophon;CORE;Celo;Scroll;Sonic,3100.3604445424057,Q2,0,0,0,0,0,,,0
sonus-exchange-clmm,Sonus Exchange CLMM,Dexs,Soneium,Soneium,13427.742957612025,Q2,0,0,0,0,0,,,0
synstation,SynStation,Prediction Market,Soneium,Soneium;Ethereum;Astar,11601.526833429816,Q2,0,0,0,0,0,,,0
oracle-swap,Oracle Swap,Dexs,Songbird,Songbird,12494.633103927325,Q2,0,0,0,0,0,,,0
flrloans,FLRLoans,CDP,Songbird,Songbird,980.328777557074,Q2,0,0,0,0,0,,,0
amped-finance,Amped Finance,Derivatives,Sonic,Sonic;Superseed;Base;LightLink;Binance;Berachain,10892.003153562848,Q2,0,0,0,0,0,,,0
sonicxswap,Sonicxswap,Dexs,Sonic,Sonic,3150.6352109120785,Q2,0,0,0,0,0,,,0
sonic-market-liquidity-vault,Sonic Market Liquidity Vault,Dexs,Sonic,Sonic,2808.543129922404,Q2,0,0,0,0,0,,,0
angles-liquid,Angles Liquid,Onchain Capital Allocator,Sonic,Sonic,416.5348765780339,Q2,0,0,0,0,0,,,0
magsinio,Magsinio,Lending,Sonic,Sonic,138.09625519793224,Q2,0,0,0,0,0,,,0
scoreplay.xyz,ScorePlay.xyz,Prediction Market,Sophon,Sophon;Base,3091.910977225618,Q2,0,0,0,0,0,,,0
uwu-protocol,UWU Protocol,CDP,Stacks,Stacks,3028.808872849884,Q2,0,0,0,0,0,,,0
satoshi-dex,Satoshi DEX,Dexs,Stacks,Stacks,4584.2238620798435,Q2,0,0,0,0,0,,,0
cairofi,CairoFi,Dexs,Starknet,Starknet,1569.1859197057515,Q2,0,0,0,0,0,,,0
starksport,Starksport,Dexs,Starknet,Starknet,369.8952760143351,Q2,0,0,0,0,0,,,0
zklend-lst,zkLend LST,Liquid Staking,Starknet,Starknet,390.17609337144074,Q2,0,0,0,0,0,,,0
liquid-agents,Liquid Agents,Liquid Staking,Sui,Sui,8475.369558293383,Q2,0,0,0,0,0,,,0
degenhive-lst,DegenHive LST,Liquid Staking,Sui,Sui,302.6559937840636,Q2,0,0,0,0,0,,,0
jackson-protocol,Jackson Protocol,Prediction Market,Sui,Sui,4690.886796638578,Q2,0,0,0,0,0,,,0
degenhive-amm,DegenHive AMM,Dexs,Sui,Sui,168.92083697027232,Q2,0,0,0,0,0,,,0
poseidollar,Poseidollar,Algo-Stables,Sui,Sui,2.4798086360034604,Q2,0,0,0,0,0,,,0
seedfi-perp,SeedFi Perp,Derivatives,Superseed,Superseed,2685.216615129437,Q2,0,0,0,0,0,,,0
seedfi-amm,SeedFi AMM,Dexs,Superseed,Superseed,12367.875078633404,Q2,0,0,0,0,0,,,0
neptune,Neptune,Dexs,Swellchain,Swellchain,1526.5353200833445,Q2,0,0,0,0,0,,,0
aqua-protocol,Aqua Protocol,CDP,TON,TON,112.27182739250186,Q2,0,0,0,0,0,,,0
tegro-finance,Tegro Finance,Dexs,TON,TON,13266.88279568802,Q2,0,0,0,0,0,,,0
mugglelink,MuggleLink,Services,TON,TON,598.0935418415377,Q2,0,0,0,0,0,,,0
bagel-finance-v2,Bagel Finance V2,Indexes,TON,TON,61.22893247258936,Q2,0,0,0,0,0,,,0
tonnel-network,Tonnel Network,Privacy,TON,TON,11026.981258454682,Q2,0,0,0,0,0,,,0
henjin-dex,Henjin DEX,Dexs,Taiko,Taiko;Base,2315.3883984374415,Q2,0,0,0,0,0,,,0
axion-finance-v3,Axion Finance V3,Dexs,Taiko,Taiko,8.932292113840338,Q2,0,0,0,0,0,,,0
tanukix,TanukiX,Dexs,Taiko,Taiko,37.09443982040469,Q2,0,0,0,0,0,,,0
unagiswap,unagiswap,Dexs,Taiko,Taiko,308.97067871579713,Q2,0,0,0,0,0,,,0
daikodex,DaikoDEX,Dexs,Taiko,Taiko,3125.2509549702445,Q2,0,0,0,0,0,,,0
taraperps,TaraPerps,Derivatives,Taraxa,Taraxa,650.9529320279187,Q2,0,0,0,0,0,,,0
fomoswap-v2,FomoSwap V2,Dexs,Taraxa,Taraxa,5392.804570133143,Q2,0,0,0,0,0,,,0
archly-v2,Archly V2,Dexs,Telos,Telos;Arbitrum;Base;Optimism;Kava;Arbitrum Nova;Zora;Binance;Avalanche;Cronos;Fantom;Polygon;Neon;zkSync Era;Fraxtal;Sonic;Ethereum;Mode;Metis;Filecoin;Blast;Mantle,2705.8477114107936,Q2,0,0,0,0,0,,,0
hexaswap,Hexaswap,Dexs,Telos,Telos,3.9864258679233737,Q2,0,0,0,0,0,,,0
yieldhub-finance,YieldHub Finance,Yield Aggregator,Telos,Telos,115.3653645231345,Q2,0,0,0,0,0,,,0
meridian-swap,Meridian Swap,Dexs,Telos,Telos,12446.118726431032,Q2,0,0,0,0,0,,,0
omnidex-swap,OmniDex Swap,Dexs,Telos,Telos,881.6757326906101,Q2,0,0,0,0,0,,,0
edge-protocol,Edge Protocol,Lending,Terra,Terra,4355.100955656045,Q2,0,0,0,0,0,,,0
loop-finance,Loop Finance,Dexs,Terra,Terra;Juno,13307.912937004006,Q2,0,0,0,0,0,,,0
white-whale-vaults,White Whale Vaults,Yield,Terra,Terra,98.38899518526712,Q2,0,0,0,0,0,,,0
soluna,Soluna,Yield,Terra,Terra,2330.315199036256,Q2,0,0,0,0,0,,,0
