term,coef,se_cluster_slug,stat,p,model
C(category_llama)[T.Meme],0.18511294987435947,0.00010293934105124084,1798.2721473048337,0.0,glm_binomial_cluster
C(category_llama)[T.NFT Launchpad],0.18511298370270263,0.00014455418844301277,1280.5784854561946,0.0,glm_binomial_cluster
C(category_llama)[T.NFT Lending],23.823439351525476,0.9868672347744114,24.14047048281149,9.402068393463153e-129,glm_binomial_cluster
C(category_llama)[T.NFT Marketplace],23.38314601358035,0.9993809202454508,23.397631013245064,4.517610569055076e-121,glm_binomial_cluster
C(category_llama)[T.NftFi],-0.03749624038551826,0.00010254553592708118,-365.6545362655412,0.0,glm_binomial_cluster
C(category_llama)[T.OTC Marketplace],-0.3810770125095513,0.0001025718339032318,-3715.2208165554152,0.0,glm_binomial_cluster
C(category_llama)[T.Onchain Capital Allocator],-0.426709497060137,7.600202537709994e-05,-5614.449022153404,0.0,glm_binomial_cluster
C(category_llama)[T.Options],24.27784692899963,0.5715961072021993,42.47377934015821,0.0,glm_binomial_cluster
C(category_llama)[T.Options Vault],24.261165705244128,0.9704658167642431,24.999505687007556,6.189531630333302e-138,glm_binomial_cluster
C(category_llama)[T.Oracle],0.18511285739107042,8.145672782770869e-05,2272.529996326486,0.0,glm_binomial_cluster
C(category_llama)[T.Partially Algorithmic Stablecoin],-0.3273157263658989,8.744392153419427e-05,-3743.150131229014,0.0,glm_binomial_cluster
C(category_llama)[T.Payments],24.642796422073577,0.6836216819301534,36.047417853243815,1.5137723476407227e-284,glm_binomial_cluster
C(category_llama)[T.Physical TCG],0.18511292140791757,9.23938683628775e-05,2003.5195482982203,0.0,glm_binomial_cluster
C(category_llama)[T.Ponzi],0.11519241630401433,8.203483890238413e-05,1404.1889744073912,0.0,glm_binomial_cluster
C(category_llama)[T.Portfolio Tracker],0.18511296691851736,0.00011476654262061308,1612.9523700164987,0.0,glm_binomial_cluster
C(category_llama)[T.Prediction Market],-0.10337373424130497,7.524646444951593e-05,-1373.8018788997067,0.0,glm_binomial_cluster
C(category_llama)[T.Privacy],-0.18242622681304788,7.776165997511589e-05,-2345.966211001992,0.0,glm_binomial_cluster
C(category_llama)[T.Private Investment Platform],0.1851129836408057,0.00014455418843120767,1280.5784851325818,0.0,glm_binomial_cluster
C(category_llama)[T.RWA],22.303172270753823,0.9968114172642976,22.374515263843826,6.97112818740342e-111,glm_binomial_cluster
C(category_llama)[T.RWA Lending],25.082851129292465,0.6999061864271036,35.837447383249966,2.885019997143137e-281,glm_binomial_cluster
C(category_llama)[T.Reserve Currency],24.016605951149025,0.495814771884955,48.43866563282155,0.0,glm_binomial_cluster
C(category_llama)[T.Restaked BTC],-0.2175000484766345,9.140415419723179e-05,-2379.542269023278,0.0,glm_binomial_cluster
C(category_llama)[T.Restaking],-0.4003874280052149,8.172256867970172e-05,-4899.3495245416,0.0,glm_binomial_cluster
C(category_llama)[T.Risk Curators],-0.4164049452588354,7.713998690604774e-05,-5398.042726737739,0.0,glm_binomial_cluster
C(category_llama)[T.Security Extension],0.18511294992975694,0.00010293934105572713,1798.272147764618,0.0,glm_binomial_cluster
C(category_llama)[T.Services],24.336187408774727,0.4398656923466018,55.3264049281627,0.0,glm_binomial_cluster
C(category_llama)[T.SoFi],23.75591194810285,0.7017568991737104,33.85205329092517,3.3852934466697257e-251,glm_binomial_cluster
C(category_llama)[T.Stablecoin Issuer],-0.13490290056841386,0.00010164646625672276,-1327.1774763689,0.0,glm_binomial_cluster
C(category_llama)[T.Staking Pool],-0.1468441165432961,7.599444515106091e-05,-1932.3006602838009,0.0,glm_binomial_cluster
C(category_llama)[T.Staking Rental],-0.36003567924188656,0.0001445541884964514,-2490.6623805696568,0.0,glm_binomial_cluster
C(category_llama)[T.Synthetics],23.484659924026573,0.9849822134607893,23.84272487673856,1.204843812703314e-125,glm_binomial_cluster
C(category_llama)[T.Telegram Bot],25.49973864267496,0.5553793814686411,45.91408952785327,0.0,glm_binomial_cluster
C(category_llama)[T.Token Locker],24.493584187574236,0.9631021045309184,25.431970371930507,1.1176028924085645e-142,glm_binomial_cluster
C(category_llama)[T.Trading App],0.16271601289267415,8.144739782829885e-05,1997.8049297007567,0.0,glm_binomial_cluster
