term,coef,se_cluster_slug,stat,p,model
Intercept,-0.005858938361051279,0.000615478745578882,-9.51931874680858,1.7431804216840787e-21,ols_lpm_cluster
C(year)[T.2019],-0.00015583606046311907,0.00015598502155032988,-0.9990450295436684,0.3177728783190027,ols_lpm_cluster
C(year)[T.2020],0.0012466884837161278,0.0004930603268043587,2.528470485135587,0.011456071823427361,ols_lpm_cluster
C(year)[T.2021],0.006077606358112035,0.0009959778195233987,6.102150307945942,1.046508891956731e-09,ols_lpm_cluster
C(year)[T.2022],0.007015423820370645,0.0010659597797646255,6.58132131581899,4.6628565430709775e-11,ols_lpm_cluster
C(year)[T.2023],0.009979110068665243,0.0012612660348824453,7.911978752044436,2.5332963796471877e-15,ols_lpm_cluster
C(year)[T.2024],0.007018224919842799,0.0010661012195479868,6.583075594659235,4.608146915497475e-11,ols_lpm_cluster
C(year)[T.2025],0.00919992976634412,0.0012132290709571012,7.583011309716152,3.3762540253187965e-14,ols_lpm_cluster
C(category_llama)[T.Algo-Stables],0.0012271535412123,0.0010822027225516372,1.1339405414901333,0.2568194897578673,ols_lpm_cluster
C(category_llama)[T.Anchor BTC],-0.0026335030138061057,0.0010954008870603159,-2.4041454091511043,0.016210323948659,ols_lpm_cluster
C(category_llama)[T.Basis Trading],-0.0021231590092805966,0.0009119896447851143,-2.3280516631094663,0.019909360535043403,ols_lpm_cluster
C(category_llama)[T.Bridge],0.008516019809440981,0.004098504403545979,2.077835954518682,0.037724471020285935,ols_lpm_cluster
C(category_llama)[T.Bridge Aggregator],0.0008112949414776451,0.0004417729325281322,1.8364523531010621,0.06629078277277038,ols_lpm_cluster
C(category_llama)[T.Bug Bounty],-0.0014053348833185722,0.0006487369588363497,-2.166263019513093,0.030291093887854448,ols_lpm_cluster
C(category_llama)[T.CDP],0.007911439087697649,0.003007517537193835,2.6305545985542014,0.008524567552313943,ols_lpm_cluster
C(category_llama)[T.CDP Manager],-0.0027570852670840036,0.0011400533411333267,-2.418382691061794,0.015589671391234107,ols_lpm_cluster
C(category_llama)[T.CEX],0.024086333501940782,0.005976565122392494,4.030129850287437,5.574604919265781e-05,ols_lpm_cluster
C(category_llama)[T.Canonical Bridge],0.00300584293190335,0.0035013315479130373,0.858485662031914,0.39062434433872073,ols_lpm_cluster
C(category_llama)[T.CeDeFi],-0.0016760989956748967,0.0009459363650249998,-1.7718940275973,0.076412150015098,ols_lpm_cluster
C(category_llama)[T.Chain],0.004767095514038089,0.002766051631816465,1.7234296927810921,0.0848108491830075,ols_lpm_cluster
C(category_llama)[T.Chain Bribes],0.0008112949414778637,0.00044177293252476227,1.8364523531155656,0.06629078277062718,ols_lpm_cluster
C(category_llama)[T.Charity Fundraising],0.0003267427342268474,0.0005338970363119241,0.6119957819656281,0.5405405483039916,ols_lpm_cluster
C(category_llama)[T.Coins Tracker],0.0008112949414776922,0.0004417729325262028,1.8364523531091892,0.06629078277156948,ols_lpm_cluster
C(category_llama)[T.Collateral Management],-0.0025930272347969895,0.0010733305234753893,-2.4158702078097063,0.01569765578033084,ols_lpm_cluster
C(category_llama)[T.Cross Chain Bridge],0.0021591819332930466,0.0034898811108707985,0.6186978480634504,0.5361154279145058,ols_lpm_cluster
C(category_llama)[T.DAO Service Provider],0.0007693326823059771,0.00043134446502061713,1.7835691534124705,0.07449370169461464,ols_lpm_cluster
C(category_llama)[T.DCA Tools],-0.000902000260226398,0.0005405624041915694,-1.6686329889615092,0.09519013690029884,ols_lpm_cluster
C(category_llama)[T.DEX Aggregator],0.005798902667603693,0.002557486977850631,2.267422167864651,0.02336444856282379,ols_lpm_cluster
C(category_llama)[T.DOR],-0.0028949795033217656,0.001188773180359333,-2.435266500920465,0.014880825348058726,ols_lpm_cluster
C(category_llama)[T.DePIN],0.0008112949414777706,0.0004417729325293028,1.83645235309648,0.06629078277344752,ols_lpm_cluster
C(category_llama)[T.Decentralized BTC],-0.004260151293371226,0.0027173399850313946,-1.5677652840051248,0.11693591956606347,ols_lpm_cluster
C(category_llama)[T.Derivatives],0.004607742478707369,0.001469824564996699,3.134892822204068,0.0017191690956699021,ols_lpm_cluster
C(category_llama)[T.Developer Tools],0.0008112283243759547,0.000441753701046431,1.8363815004929402,0.06630125364009712,ols_lpm_cluster
C(category_llama)[T.Dexs],0.0020635586516450314,0.0006264978512122921,3.2938000468030073,0.0009884278452934664,ols_lpm_cluster
C(category_llama)[T.Domains],0.0008112949414776117,0.00044177293253069107,1.8364523530903494,0.06629078277435345,ols_lpm_cluster
C(category_llama)[T.Dual-Token Stablecoin],-0.0016542091502474202,0.0008368820444978614,-1.9766335783198268,0.048083063754420945,ols_lpm_cluster
C(category_llama)[T.Farm],0.0003511025106032445,0.0006581125934165715,0.5334991521443261,0.5936880977925629,ols_lpm_cluster
C(category_llama)[T.Foundation],0.0008112949414776818,0.0004417729325276218,1.8364523531032668,0.06629078277244457,ols_lpm_cluster
C(category_llama)[T.Gaming],0.0034424393066604256,0.0021887947530406507,1.5727556464023067,0.11577540936632559,ols_lpm_cluster
C(category_llama)[T.Governance Incentives],-0.0007825360804219749,0.0005540312407940206,-1.4124403513788646,0.15782034226516128,ols_lpm_cluster
C(category_llama)[T.Indexes],0.004240991524230912,0.0030000869309225395,1.413622878896642,0.1574726600375087,ols_lpm_cluster
C(category_llama)[T.Insurance],0.012561122485388921,0.007278559785200195,1.7257703249109781,0.08438874050334973,ols_lpm_cluster
C(category_llama)[T.Interface],0.0007422384063433009,0.00042771103667825163,1.7353735178492822,0.08267466757806234,ols_lpm_cluster
C(category_llama)[T.Launchpad],0.002638294416046289,0.0016192065468596149,1.6293748448356717,0.10323369064548608,ols_lpm_cluster
C(category_llama)[T.Lending],0.014148864394506305,0.0019253621927038049,7.348676757092086,2.001786253564845e-13,ols_lpm_cluster
C(category_llama)[T.Leveraged Farming],0.007943959323549275,0.005115450857148815,1.5529343444767207,0.12043882073955194,ols_lpm_cluster
C(category_llama)[T.Liquid Restaking],-0.0024791139984645795,0.001043167332656368,-2.376525722054249,0.01747654285932496,ols_lpm_cluster
C(category_llama)[T.Liquid Staking],0.00022819108265888872,0.0012915037193354155,0.1766863534673456,0.8597547605827585,ols_lpm_cluster
C(category_llama)[T.Liquidations],-0.0015485649380898863,0.0007420532804424078,-2.0868648908426644,0.03690034934442422,ols_lpm_cluster
C(category_llama)[T.Liquidity Automation],-0.0010682949566780697,0.0006523844876896601,-1.6375235414644906,0.10152112414813738,ols_lpm_cluster
C(category_llama)[T.Liquidity manager],0.0128822491170279,0.006502376762576691,1.9811600569147985,0.04757332701588928,ols_lpm_cluster
C(category_llama)[T.Luck Games],-0.0002436058575596893,0.0003826241464957372,-0.6366714170831959,0.524338895389307,ols_lpm_cluster
C(category_llama)[T.MEV],0.0008112949414777189,0.0004417729325243358,1.8364523531170107,0.06629078277041364,ols_lpm_cluster
C(category_llama)[T.Meme],0.0008112949414777427,0.00044177293252982826,1.8364523530942325,0.06629078277377967,ols_lpm_cluster
C(category_llama)[T.NFT Launchpad],0.0008112949414776049,0.0004417729325331878,1.8364523530799548,0.06629078277588951,ols_lpm_cluster
C(category_llama)[T.NFT Lending],0.00334580228131218,0.003960105574964192,0.8448770412749497,0.3981794942398398,ols_lpm_cluster
C(category_llama)[T.NFT Marketplace],0.0022421026074008954,0.0023379678367405586,0.958996343819121,0.3375605870719438,ols_lpm_cluster
C(category_llama)[T.NftFi],-0.00025594715276658245,0.0005410644037005556,-0.4730437837271453,0.6361819424058209,ols_lpm_cluster
C(category_llama)[T.OTC Marketplace],-0.001957045922495528,0.0009646661438450127,-2.028728731678133,0.042485927765419734,ols_lpm_cluster
C(category_llama)[T.Onchain Capital Allocator],-0.00235454866395392,0.0009456601850289857,-2.489846459890611,0.012779829164355827,ols_lpm_cluster
C(category_llama)[T.Options],0.005729400689252035,0.0038266883988108897,1.4972216423559328,0.13433559577047458,ols_lpm_cluster
