family,share_any,share_high
reentrancy,0.9414225941422594,0.18410041841004185
access_control,0.08089260808926081,0.0
arithmetic,0.22315202231520223,0.0
oracle_price,0.0,0.0
dos_resources,0.15760111576011157,0.001394700139470014
