term,coef,se_cluster_slug,stat,p,model,n
Intercept,15.085531307533222,0.11695925833013636,128.98107873557026,0.0,ols_soft_strict_cluster,283
has_audit,0.6402915345791338,0.08775508447740415,7.296346854340969,2.9568605314983376e-13,ols_soft_strict_cluster,283
has_full_audit,0.6402915345791332,0.08775508447740414,7.296346854340964,2.956860531498456e-13,ols_soft_strict_cluster,283
has_certik_badge,0.6402915345791332,0.08775508447740414,7.296346854340964,2.956860531498456e-13,ols_soft_strict_cluster,283
any_top_firm,0.6402915345791332,0.08775508447740414,7.296346854340964,2.956860531498456e-13,ols_soft_strict_cluster,283
audit_firm_count,0.6402915345791332,0.08775508447740414,7.296346854340964,2.956860531498456e-13,ols_soft_strict_cluster,283
