term,coef,se_cluster_slug,stat,p,model,n
Intercept,15.085531307533222,0.1165392955437962,129.4458769219519,0.0,ols_base_cluster,283
has_audit,1.0671525576318943,0.14573330735556764,7.322640081365892,2.431392903283598e-13,ols_base_cluster,283
any_top_firm,1.0671525576318939,0.14573330735556764,7.322640081365889,2.431392903283642e-13,ols_base_cluster,283
audit_firm_count,1.0671525576318939,0.14573330735556764,7.322640081365889,2.431392903283642e-13,ols_base_cluster,283
