file,n_issues,n_unique_rules,rule__one-contract-per-file,rule__use-natspec,rule__gas-indexed-events,rule__explicit-types,rule__reason-string,rule__gas-small-strings,rule__max-states-count,rule__immutable-vars-naming,rule__gas-strict-inequalities,rule__not-rely-on-time,rule__func-name-mixedcase,rule__no-inline-assembly,rule__gas-increment-by-one,rule__UNKNOWN_RULE,sev__Warning,sev__UNKNOWN_SEV,rule__var-name-mixedcase,rule__state-visibility,rule__interface-starts-with-i,rule__const-name-snakecase,rule__visibility-modifier-order,rule__function-max-lines,rule__quotes,rule__avoid-low-level-calls,sev__Error,rule__no-empty-blocks,rule__avoid-call-value,rule__contract-name-capwords,rule__gas-custom-errors,rule__no-complex-fallback,rule__gas-calldata-parameters
0x8b758d7fd0fc58fca8caa5e53af2c7da5f5f8de1.solhint.json,351,16,1.0,192.0,16.0,92.0,5.0,6.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,328.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,22.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf60becbba223eea9495da3f606753867ec10d139.solhint.json,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa3931d71877c0e7a3148cb7eb4463524fec27fbd.solhint.json,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x13ad51ed4f1b7e9dc168d8a00cb3f4ddd85efa60.solhint.json,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa2e3356610840701bdf5611a53974510ae27e2e1.solhint.json,56,9,1.0,31.0,3.0,0.0,5.0,7.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2.solhint.json,183,12,1.0,123.0,4.0,8.0,13.0,23.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,182.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0x158079ee67fce2f58472a96584a73c7ab9ac95c1.solhint.json,559,16,1.0,151.0,42.0,287.0,14.0,13.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0,1.0,558.0,1.0,0.0,8.0,3.0,6.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x2fcb47b58350cd377f94d3821e7373df60bd9ced.solhint.json,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x6f7d514bbd4aff3bcd1140b7344b32f063dee486.solhint.json,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7.solhint.json,65,6,0.0,43.0,4.0,11.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x94a7432b811e29128964fba993f159928744e7c7.solhint.json,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x4c5be0fea74c33455f81c85561146bdaf09633da.solhint.json,351,16,1.0,192.0,16.0,92.0,5.0,6.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,328.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,22.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
0x78df1cf5bf06a7f27f2acc580b934238c1b80d50.solhint.json,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
