protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/security-audits,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/blockchain-infrastructure,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/zkp,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/oif-broadcaster-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/uniswap-labs-the-compact-emissary-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/uniswap-labs-the-compact-tribunal-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/the-compact-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/sponsored-periphery-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/uniswap-erc20eth-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/uniswap-calibur-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/sponsored-cctp-deposits-from-solana-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/helios-system-update-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/oif-contracts-diff-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/zaiffer-token-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/zisk-binary-and-main-review,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/starknet-integration-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/bridgev2-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/lombard-gmp-contracts-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/katana-integration-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/bard-token-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/lombard-solana-integration-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/lombard-incremental-sui-and-blacklist-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/lombard-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/linea-burn-mechanism-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/xaut0-ton-oft-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/onesig-audit-1,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/everdawn-usdt0-erc-7802-upgrade-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/usdt0-transaction-helper-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/usdt0-child-token-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/onesig-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/tgbp-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/9lives-cpmm-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/eclipse-solidity-bridge-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
,openzeppelin,OpenZeppelin,,,https://www.openzeppelin.com/news/jovay-rollup-contracts-audit,found_on=https://www.openzeppelin.com/research,audit_events_firm_archives.csv
