protocol_name_raw,symbol,category,chains,tvl_max,audit_firms,audit_score_max,audit_score_mean,last_audit_date,audit_sources,audit_firm_count,has_audit,audit_score,any_top_firm,proto_norm,slug
ACoconut,AC,Yield,['Multi-Chain'],10105.117831383785,[],,,,['api'],0,0,,0,acoconut,acoconut
ACryptoS,ACS,Liquidity manager,['Multi-Chain'],10564758.26,[],,,,['api'],0,0,,0,acryptos,acryptos
ADAO,ibASTR,Yield,['Astar'],3472.8347125264204,[],,,,['api'],0,0,,0,adao,adao
ADAX Pro,ADAX,Dexs,['Cardano'],0.0,[],,,,['api'],0,0,,0,adax pro,adax-pro
ADEN,-,Interface,['nan'],,[],,,,['api'],0,0,,0,aden,aden
AGDEX,-,Derivatives,['Aptos'],579.472013227891,[],,,,['api'],0,0,,0,agdex,agdex
AGS Finance,AGS,Dexs,['Astar'],1979.752438612908,[],,,,['api'],0,0,,0,ags finance,ags-finance
AIDApp,-,Launchpad,['CORE'],6.004762543575155,[],,,,['api'],0,0,,0,aidapp,aidapp
AILayer farm,-,Farm,['Multi-Chain'],115400525.48153016,[],,,,['api'],0,0,,0,ailayer farm,ailayer-farm
AINN Swap,-,Dexs,['AILayer'],91154.71674280651,[],,,,['api'],0,0,,0,ainn swap,ainn-swap
AITECH,AITECH,Services,['Binance'],0.0,[],,,,['api'],0,0,,0,aitech,aitech
AImstrong,-,Lending,['Multi-Chain'],2867.909746800312,[],,,,['api'],0,0,,0,aimstrong,aimstrong
AKKA,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,akka,akka
ALEX,ALEX,Dexs,['Stacks'],4148436.863781852,[],,,,['api'],0,0,,0,alex,alex
ALTA Finance,-,RWA Lending,['Multi-Chain'],0.0,[],,,,['api'],0,0,,0,alta finance,alta-finance
AO Bridge,AO,Canonical Bridge,['Ethereum'],218046676.3388157,[],,,,['api'],0,0,,0,ao bridge,ao-bridge
APX Bridge,ASTER,Bridge,['Multi-Chain'],50561632.38847552,[],,,,['api'],0,0,,0,apx bridge,apx-bridge
APY Finance,APY,Yield,['Ethereum'],414065.7074133417,[],,,,['api'],0,0,,0,apy finance,apy-finance
ARCx,ARCx,Insurance,['Ethereum'],0.0,[],,,,['api'],0,0,,0,arcx,arcx
ARPA Staking,ARPA,Staking Pool,['Ethereum'],0.0,[],,,,['api'],0,0,,0,arpa staking,arpa-staking
ASA.Gold,-,RWA,['Algorand'],26607.14183070862,[],,,,['api'],0,0,,0,asa.gold,asa.gold
AUTOfinance,TOKE,Yield,['Multi-Chain'],152061460.08239555,[],,,,['api'],0,0,,0,autofinance,autofinance
AUX Exchange,-,Dexs,['Aptos'],27423.670494696147,[],,,,['api'],0,0,,0,aux exchange,aux-exchange
AVNU,-,DEX Aggregator,['nan'],0.0,[],,,,['api'],0,0,,0,avnu,avnu
AYIN,AYIN,Dexs,['Alephium'],228347.96299397075,[],,,,['api'],0,0,,0,ayin,ayin
AZEX,AZT,Derivatives,['Multi-Chain'],0.0447992171592855,[],,,,['api'],0,0,,0,azex,azex
Aark Digital,AARK,Interface,['Arbitrum'],0.0,[],,,,['api'],0,0,,0,aark digital,aark-digital
Aarna Protocol,-,Yield,['Multi-Chain'],1114382.448095753,[],,,,['api'],0,0,,0,aarna protocol,aarna-protocol
Aave,,,[],,['DeFiSafety'],88.0,88.0,2024-02-15 00:00:00+00:00,['full'],1,1,88.0,0,aave,aave-arc
Aave Aptos,AAVE,Lending,['Aptos'],1563457.2029135656,[],,,,['api'],0,0,,0,aave aptos,aave-aptos
Aave Arc,AAVE,Lending,['Ethereum'],57252.48533258082,[],,,,['api'],0,0,,0,aave arc,aave-arc
Aave V1,AAVE,Lending,['Ethereum'],14955715.712726545,[],,,,['api'],0,0,,0,aave v1,aave-v1
Aave V2,AAVE,Lending,['Multi-Chain'],315881709.41464746,[],,,,['api'],0,0,,0,aave v2,aave-v2
Aave V3,AAVE,Lending,['Multi-Chain'],42514054346.929855,[],,,,['api'],0,0,,0,aave v3,aave-v3
Aave-Chan,-,DAO Service Provider,['nan'],,[],,,,['api'],0,0,,0,aave-chan,aave-chan
Aavegotchi,GHST,Gaming,['Multi-Chain'],654813.9517474717,[],,,,['api'],0,0,,0,aavegotchi,aavegotchi
Abachi,ABI,Services,['nan'],0.0,[],,,,['api'],0,0,,0,abachi,abachi
Abacus,-,Governance Incentives,['Multi-Chain'],38266.44224590498,[],,,,['api'],0,0,,0,abacus,abacus
Aboard Exchange,ABE,Derivatives,['Multi-Chain'],128.55906849388032,[],,,,['api'],0,0,,0,aboard exchange,aboard-exchange
Abracadabra Spell,SPELL,CDP,['Multi-Chain'],22482084.066815317,[],,,,['api'],0,0,,0,abracadabra spell,abracadabra-spell
AbstraDEX,-,Dexs,['Multi-Chain'],666251.9772054394,[],,,,['api'],0,0,,0,abstradex,abstradex
Abstract,-,Chain,['Ethereum'],79986573.25197582,[],,,,['api'],0,0,,0,abstract,abstract
Acala,ACA,Canonical Bridge,['nan'],0.0,[],,,,['api'],0,0,,0,acala,acala
Acala Dollar,aUSD,CDP,['Acala'],0.0,[],,,,['api'],0,0,,0,acala dollar,acala-dollar
Acala Euphrates,DOT,Yield,['Acala'],995369.5177037258,[],,,,['api'],0,0,,0,acala euphrates,acala-euphrates
Acala LCDOT,DOT,Liquid Staking,['Acala'],9340037.956743406,[],,,,['api'],0,0,,0,acala lcdot,acala-lcdot
Acala Liquid Staking,DOT,Liquid Staking,['Acala'],14401424.327463396,[],,,,['api'],0,0,,0,acala liquid staking,acala-liquid-staking
Acala Swap,ACA,Dexs,['Acala'],0.0,[],,,,['api'],0,0,,0,acala swap,acala-swap
Access Protocol,ACS,SoFi,['Solana'],0.0,[],,,,['api'],0,0,,0,access protocol,access-protocol
Accumulated Finance Lending,-,Lending,['Multi-Chain'],179761.88495899475,[],,,,['api'],0,0,,0,accumulated finance lending,accumulated-finance-lending
Accumulated Finance Liquid Staking,-,Liquid Staking,['Multi-Chain'],2209404.8762284014,[],,,,['api'],0,0,,0,accumulated finance liquid staking,accumulated-finance-liquid-staking
Accumulator,-,Yield Aggregator,['ShimmerEVM'],5485.655534664952,[],,,,['api'],0,0,,0,accumulator,accumulator
Ace of Base,ACE,Farm,['Base'],26.415525493240622,[],,,,['api'],0,0,,0,ace of base,ace-of-base
Across,ACX,Cross Chain Bridge,['Ethereum'],79821700.26534301,[],,,,['api'],0,0,,0,across,across
Acumen,ACM,Lending,['Solana'],0.0,[],,,,['api'],0,0,,0,acumen,acumen
Ad-Astra Bridge,-,Bridge,['Ethereum'],4.625926948859999,[],,,,['api'],0,0,,0,ad-astra bridge,ad-astra-bridge
AdaSwap,ASW,Dexs,['Milkomeda'],0.0,[],,,,['api'],0,0,,0,adaswap,adaswap
