slug,name,symbol,category,tvl,chains,has_audit_strict,has_contest,has_security_review_broad,num_audits_strict,num_contests,audit_event_count_strict,contest_event_count,security_review_event_count_total,last_audit_date_strict,last_contest_date,last_security_review_date,audit_recency_years_strict,audit_firm_count,any_top_firm,audit_firm_tier,audit_score,strict_sources_seen,contest_sources_seen,all_sources_seen,audit_firms_strict
arcadia-v2,Arcadia V2,AAA,Liquidity manager,7889773.96505394,Base,0,1,1,0,8,0,8,8,,2024-03-13 20:45:49+00:00,2024-03-13 20:45:49+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
arrakis-v2,Arrakis V2,-,Liquidity manager,305123.13478068914,Ethereum;Polygon;Optimism;Arbitrum,0,1,1,0,16,0,16,16,,2024-06-26 14:33:34+00:00,2024-06-26 14:33:34+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
astaria-v2,Astaria V2,-,Lending,51066.05518043306,Base;Ethereum,0,1,1,0,16,0,16,16,,2023-01-11 22:06:57+00:00,2023-01-11 22:06:57+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
astrovault,Astrovault,AXV,Dexs,317385.74582208466,Archway;Nibiru;Neutron,0,1,1,0,8,0,8,8,,2025-03-16 15:37:08+00:00,2025-03-16 15:37:08+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
aura,Aura,AURA,Yield,131804658.3239825,Ethereum;Base;Arbitrum;xDai;Optimism;Polygon;Fraxtal;Polygon zkEVM;Avalanche,0,1,1,0,8,0,8,8,,2022-05-09 17:57:11+00:00,2022-05-09 17:57:11+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
aurus,Aurus,AX,RWA,0.0,Ethereum,0,1,1,0,8,0,8,8,,2023-05-02 00:27:01+00:00,2023-05-02 00:27:01+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
axelar,Axelar,AXL,Bridge,171863361.57793692,Ethereum;Binance;Ripple;Optimism;Arbitrum;Polygon;Fantom;Regen;Kujira;Osmosis;Cosmos;Base;Linea;Avalanche;Persistence;Celestia;Stride;Chihuahua;Secret;Stargaze;Umee;Agoric;Sei;Terra2;Neutron;Juno;Mantle;Carbon;Evmos;Blast;Migaloo;Archway;Dymension;Injective;XPLA;Aurora;Immutable zkEVM;Fraxtal;Moonbeam;Kava;Scroll;Celo;XRPL EVM;Filecoin,0,1,1,0,36,0,36,36,,2024-08-05 19:00:25+00:00,2024-08-05 19:00:25+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
axion,Axion,AXN,Yield,515742.88742240815,Polygon,0,1,1,0,8,0,8,8,,2025-01-02 09:28:46+00:00,2025-01-02 09:28:46+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
babylon-finance,Babylon Finance,BABL,Indexes,149083.23367951636,Ethereum,0,1,1,0,4,0,4,4,,2025-04-11 17:30:53+00:00,2025-04-11 17:30:53+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
backed,Backed,-,NFT Lending,0.0,Ethereum,0,1,1,0,32,0,32,32,,2022-12-09 13:03:49+00:00,2022-12-09 13:03:49+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
badger-dao,Badger DAO,BADGER,Yield Aggregator,26447968.40408018,Ethereum;Arbitrum;Polygon;Binance;Fantom,0,1,1,0,32,0,32,32,,2024-06-20 16:16:51+00:00,2024-06-20 16:16:51+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
bakerfi,BakerFi,-,Liquid Staking,118088.70117363648,Base;Ethereum;Arbitrum,0,1,1,0,16,0,16,16,,2025-01-23 19:41:27+00:00,2025-01-23 19:41:27+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
balancer-v3,Balancer V3,BAL,Dexs,95959000.75077204,Ethereum;Base;Arbitrum;Plasma;xDai;Optimism;Hyperliquid L1;Avalanche,1,0,1,2,0,2,0,2,,,,,2,0,other,87.0,[full],[],[full],"[certik,defisafety]"
barnbridge,BarnBridge,BOND,Yield Aggregator,91268.826660372,Optimism;Ethereum;Arbitrum,0,1,1,0,6,0,6,6,,,,,0,0,unknown,,[],[sherlock],[sherlock],[]
base-protocol,Base Protocol,BASE,Indexes,0.0,Ethereum,0,1,1,0,1,0,1,1,,,,,0,0,unknown,,[],[code4rena],[code4rena],[]
based-next-generation,Based Next Generation,-,Yield,0.0,Fantom,0,1,1,0,4,0,4,4,,2025-01-17 23:33:16+00:00,2025-01-17 23:33:16+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
baseyield,BaseYield,BAY,Yield Aggregator,126.28285928579452,Base,0,1,1,0,35,0,35,35,,2023-05-12 17:04:54+00:00,2023-05-12 17:04:54+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
