protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile
isomorph,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-isomorph,repo=2022-11-isomorph,audit_events_sherlock.csv
dodo,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-dodo,repo=2022-11-dodo,audit_events_sherlock.csv
bond,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-bond-judging,repo=2022-11-bond-judging,audit_events_sherlock.csv
dodo,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-dodo-judging,repo=2022-11-dodo-judging,audit_events_sherlock.csv
isomorph,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-isomorph-judging,repo=2022-11-isomorph-judging,audit_events_sherlock.csv
bullvbear,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-bullvbear,repo=2022-11-bullvbear,audit_events_sherlock.csv
bullvbear,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-bullvbear-judging,repo=2022-11-bullvbear-judging,audit_events_sherlock.csv
astaria,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-astaria-judging,repo=2022-10-astaria-judging,audit_events_sherlock.csv
buffer,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-buffer,repo=2022-11-buffer,audit_events_sherlock.csv
buffer,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-buffer-judging,repo=2022-11-buffer-judging,audit_events_sherlock.csv
telcoin,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-telcoin,repo=2022-11-telcoin,audit_events_sherlock.csv
telcoin,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-telcoin-judging,repo=2022-11-telcoin-judging,audit_events_sherlock.csv
opyn,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-opyn,repo=2022-11-opyn,audit_events_sherlock.csv
opyn,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-opyn-judging,repo=2022-11-opyn-judging,audit_events_sherlock.csv
nounsdao,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-nounsdao,repo=2022-11-nounsdao,audit_events_sherlock.csv
nounsdao,sherlock,Sherlock,,2022-11-15T00:00:00Z,https://github.com/sherlock-audit/2022-11-nounsdao-judging,repo=2022-11-nounsdao-judging,audit_events_sherlock.csv
sentiment,sherlock,Sherlock,,2022-12-15T00:00:00Z,https://github.com/sherlock-audit/2022-12-sentiment,repo=2022-12-sentiment,audit_events_sherlock.csv
sentiment,sherlock,Sherlock,,2022-12-15T00:00:00Z,https://github.com/sherlock-audit/2022-12-sentiment-judging,repo=2022-12-sentiment-judging,audit_events_sherlock.csv
notional,sherlock,Sherlock,,2022-12-15T00:00:00Z,https://github.com/sherlock-audit/2022-12-notional,repo=2022-12-notional,audit_events_sherlock.csv
mycelium-judging-new,sherlock,Sherlock,,2022-10-15T00:00:00Z,https://github.com/sherlock-audit/2022-10-mycelium-judging-new,repo=2022-10-mycelium-judging-new,audit_events_sherlock.csv
notional,sherlock,Sherlock,,2022-12-15T00:00:00Z,https://github.com/sherlock-audit/2022-12-notional-judging,repo=2022-12-notional-judging,audit_events_sherlock.csv
ajna,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-ajna-judging,repo=2023-01-ajna-judging,audit_events_sherlock.csv
uxd,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-uxd,repo=2023-01-uxd,audit_events_sherlock.csv
uxd,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-uxd-judging,repo=2023-01-uxd-judging,audit_events_sherlock.csv
illuminate,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-illuminate,repo=2023-01-illuminate,audit_events_sherlock.csv
