protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile
coinscious-building,github_strict_search,OpenZeppelin,,,https://github.com/wiseguysmith/COINSCIOUS-BUILDING/blob/68f04f6aab3939fc8e8dbea75c932a567b42e562/audit/how-to-reproduce.md,kw=openzeppelin; path=audit; ext=md; repo=COINSCIOUS-BUILDING; file=audit/how-to-reproduce.md,scrape_github_strict_audit_reports.py
noneko,github_strict_search,OpenZeppelin,,,https://github.com/NoNekoFugu/NoNeko/blob/39460761901600089c711f8c684dad14c6a48342/audit/NoNeko_Audit_NekoSafe_v1.1.md,kw=openzeppelin; path=audit; ext=md; repo=NoNeko; file=audit/NoNeko_Audit_NekoSafe_v1.1.md,scrape_github_strict_audit_reports.py
foundry-template-test,github_strict_search,OpenZeppelin,,,https://github.com/jaxxjj/foundry-template-test/blob/c2680939eba66708cdeea014d7d81f6c1f95e490/audit/4naly3er_report_20250620_011330.md,kw=openzeppelin; path=audit; ext=md; repo=foundry-template-test; file=audit/4naly3er_report_20250620_011330.md,scrape_github_strict_audit_reports.py
foundry-template-test,github_strict_search,OpenZeppelin,,,https://github.com/jaxxjj/foundry-template-test/blob/c2680939eba66708cdeea014d7d81f6c1f95e490/audit/slither_analysis_20250620_011222.md,kw=openzeppelin; path=audit; ext=md; repo=foundry-template-test; file=audit/slither_analysis_20250620_011222.md,scrape_github_strict_audit_reports.py
foundry-template-test,github_strict_search,OpenZeppelin,,,https://github.com/jaxxjj/foundry-template-test/blob/c2680939eba66708cdeea014d7d81f6c1f95e490/audit/slither_analysis_20250620_011323.md,kw=openzeppelin; path=audit; ext=md; repo=foundry-template-test; file=audit/slither_analysis_20250620_011323.md,scrape_github_strict_audit_reports.py
foundry-template-test,github_strict_search,OpenZeppelin,,,https://github.com/jaxxjj/foundry-template-test/blob/c2680939eba66708cdeea014d7d81f6c1f95e490/audit/slither_analysis_20250620_011231.md,kw=openzeppelin; path=audit; ext=md; repo=foundry-template-test; file=audit/slither_analysis_20250620_011231.md,scrape_github_strict_audit_reports.py
foundry-template-test,github_strict_search,OpenZeppelin,,,https://github.com/jaxxjj/foundry-template-test/blob/c2680939eba66708cdeea014d7d81f6c1f95e490/audit/slither_analysis_20250620_011316.md,kw=openzeppelin; path=audit; ext=md; repo=foundry-template-test; file=audit/slither_analysis_20250620_011316.md,scrape_github_strict_audit_reports.py
lendefi-markets-polygon,github_strict_search,OpenZeppelin,,,https://github.com/LendefiMarkets/lendefi-markets-polygon/blob/53d438ecd660818ac408b88fb763669eb4a8b0c1/audit/LendefiMarketVault.md,kw=openzeppelin; path=audit; ext=md; repo=lendefi-markets-polygon; file=audit/LendefiMarketVault.md,scrape_github_strict_audit_reports.py
auditguide,github_strict_search,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/beirao.md,kw=openzeppelin; path=audit; ext=md; repo=AuditGuide; file=Audit/ref/beirao.md,scrape_github_strict_audit_reports.py
cu-password-store,github_strict_search,OpenZeppelin,,,https://github.com/nzes1/cu-password-store/blob/c0c42deea8d08f650a0e626aec282b53e61f5fbc/audit/Nzesi-Audit-Report.md,kw=openzeppelin; path=audit; ext=md; repo=cu-password-store; file=audit/Nzesi-Audit-Report.md,scrape_github_strict_audit_reports.py
sparkn-contracts,github_strict_search,OpenZeppelin,,,https://github.com/codefox-inc/sparkn-contracts/blob/80579beb5cc0ac746cfff3c73f87007cae9114e2/audit/auditReportByCodeHawks.md,kw=openzeppelin; path=audit; ext=md; repo=sparkn-contracts; file=audit/auditReportByCodeHawks.md,scrape_github_strict_audit_reports.py
vskill,github_strict_search,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v1/pre-audit/minimal-onboarding-questions.md,kw=openzeppelin; path=audit; ext=md; repo=VSkill; file=audit/v1/pre-audit/minimal-onboarding-questions.md,scrape_github_strict_audit_reports.py
usdtg-usdcg,github_strict_search,OpenZeppelin,,,https://github.com/ta5jg/usdtg-usdcg/blob/2db56a907e3a4b1be3c6ed7b4be5e8c71b9a26a0/audit/final.md,kw=openzeppelin; path=audit; ext=md; repo=usdtg-usdcg; file=audit/final.md,scrape_github_strict_audit_reports.py
shutter-staking,github_strict_search,OpenZeppelin,,,https://github.com/blockful/shutter-staking/blob/2b4f8d150cd1c18a29d4fcd13389a9fa8986377a/audit/aderyn-report.md,kw=openzeppelin; path=audit; ext=md; repo=shutter-staking; file=audit/aderyn-report.md,scrape_github_strict_audit_reports.py
