protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,slug,in_llama,protocol_norm,slug_mapped,slug_final
MiniDAO-contracts,audit_report_firm,OpenZeppelin,,,https://github.com/moretech-forward/MiniDAO-contracts/blob/4e9c3b28ee2123ccb5e4504f89ed4507190e0021/audit/Audit.md,"repo=moretech-forward/MiniDAO-contracts; path=audit/Audit.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,minidao,,
OrbsSubscriptionSmartContractAudit,audit_report_firm,OpenZeppelin,,,https://github.com/bokkypoobah/OrbsSubscriptionSmartContractAudit/blob/2afdb7faa2d3b58b98872c9987eee748641ad1fc/audit/openzeppelin-code-review/ownership/Ownable.md,"repo=bokkypoobah/OrbsSubscriptionSmartContractAudit; path=audit/openzeppelin-code-review/ownership/Ownable.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,orbssubscriptionsmartcontractaudit,,
layerzero-v2-bridge-builder,audit_report_firm,OpenZeppelin,,,https://github.com/BuildOnBeam/layerzero-v2-bridge-builder/blob/4c06d8e2da71c19c44e1d27b5b57db9250d73065/audit/FOR_AUDITORS.md,"repo=BuildOnBeam/layerzero-v2-bridge-builder; path=audit/FOR_AUDITORS.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,layerzero v2 bridge builder,,
smart-ctr-security,audit_report_firm,OpenZeppelin,,,https://github.com/andreixdbolos/smart-ctr-security/blob/e4e740f76950552109e4ffda49af4542de62b3df/audit/slither-report.md,"repo=andreixdbolos/smart-ctr-security; path=audit/slither-report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,ctr security,,
reg-ccip-core,audit_report_firm,OpenZeppelin,,,https://github.com/real-token/reg-ccip-core/blob/10cd04c76209fd7a123d16c5f072f7027e78d713/audit/docs/audit-list.md,"repo=real-token/reg-ccip-core; path=audit/docs/audit-list.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,reg ccip core,,
COINSCIOUS-BUILDING,audit_report_firm,OpenZeppelin,,,https://github.com/wiseguysmith/COINSCIOUS-BUILDING/blob/68f04f6aab3939fc8e8dbea75c932a567b42e562/audit/how-to-reproduce.md,"repo=wiseguysmith/COINSCIOUS-BUILDING; path=audit/how-to-reproduce.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,coinscious building,,
NoNeko,audit_report_firm,OpenZeppelin,,,https://github.com/NoNekoFugu/NoNeko/blob/39460761901600089c711f8c684dad14c6a48342/audit/NoNeko_Audit_NekoSafe_v1.1.md,"repo=NoNekoFugu/NoNeko; path=audit/NoNeko_Audit_NekoSafe_v1.1.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,noneko,,
foundry-template-test,audit_report_firm,OpenZeppelin,,2025-06-30T00:00:00Z,https://github.com/jaxxjj/foundry-template-test/blob/c2680939eba66708cdeea014d7d81f6c1f95e490/audit/4naly3er_report_20250620_011330.md,"repo=jaxxjj/foundry-template-test; path=audit/4naly3er_report_20250620_011330.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,foundry template test,,
foundry-template-test,audit_report_firm,OpenZeppelin,,2025-06-30T00:00:00Z,https://github.com/jaxxjj/foundry-template-test/blob/c2680939eba66708cdeea014d7d81f6c1f95e490/audit/slither_analysis_20250620_011222.md,"repo=jaxxjj/foundry-template-test; path=audit/slither_analysis_20250620_011222.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,foundry template test,,
foundry-template-test,audit_report_firm,OpenZeppelin,,2025-06-30T00:00:00Z,https://github.com/jaxxjj/foundry-template-test/blob/c2680939eba66708cdeea014d7d81f6c1f95e490/audit/slither_analysis_20250620_011323.md,"repo=jaxxjj/foundry-template-test; path=audit/slither_analysis_20250620_011323.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,foundry template test,,
