protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,org,repo_name,protocol_guess,slug,in_llama,protocol_norm,slug_mapped,slug_final
pooltogether,code4rena,Code4rena,,2021-06-04T20:34:22Z,https://github.com/code-423n4/2021-06-pooltogether-findings,repo=2021-06-pooltogether-findings,audit_events_code4rena.csv,,,,,1,pooltogether,pooltogether-v5,pooltogether-v5
tracer,code4rena,Code4rena,,2021-06-08T19:58:49Z,https://github.com/code-423n4/2021-06-tracer-findings,repo=2021-06-tracer-findings,audit_events_code4rena.csv,,,,,0,tracer,,
gro,code4rena,Code4rena,,2021-06-15T18:57:31Z,https://github.com/code-423n4/2021-06-gro-findings,repo=2021-06-gro-findings,audit_events_code4rena.csv,,,,,1,gro,gro,gro
wildcredit,code4rena,Code4rena,,2021-06-26T16:21:15Z,https://github.com/code-423n4/2021-07-wildcredit,repo=2021-07-wildcredit,audit_events_code4rena.csv,,,,,1,wildcredit,wild-credit,wild-credit
wildcredit,code4rena,Code4rena,,2021-06-26T16:53:07Z,https://github.com/code-423n4/2021-07-wildcredit-findings,repo=2021-07-wildcredit-findings,audit_events_code4rena.csv,,,,,1,wildcredit,wild-credit,wild-credit
spartan,code4rena,Code4rena,,2021-06-28T23:07:23Z,https://github.com/code-423n4/2021-07-spartan-findings,repo=2021-07-spartan-findings,audit_events_code4rena.csv,,,,,1,spartan,spartan,spartan
spartan,code4rena,Code4rena,,2021-07-05T16:53:21Z,https://github.com/code-423n4/2021-07-spartan,repo=2021-07-spartan,audit_events_code4rena.csv,,,,,1,spartan,spartan,spartan
sherlock,code4rena,Code4rena,,2021-07-06T02:16:53Z,https://github.com/code-423n4/2021-07-sherlock-findings,repo=2021-07-sherlock-findings,audit_events_code4rena.csv,,,,,1,sherlock,sherlock,sherlock
connext,code4rena,Code4rena,,2021-07-07T02:57:06Z,https://github.com/code-423n4/2021-07-connext,repo=2021-07-connext,audit_events_code4rena.csv,,,,,1,connext,connext,connext
connext,code4rena,Code4rena,,2021-07-07T03:18:00Z,https://github.com/code-423n4/2021-07-connext-findings,repo=2021-07-connext-findings,audit_events_code4rena.csv,,,,,1,connext,connext,connext
floatcapital,code4rena,Code4rena,,2021-07-19T18:58:59Z,https://github.com/code-423n4/2021-08-floatcapital-findings,repo=2021-08-floatcapital-findings,audit_events_code4rena.csv,,,,,1,floatcapital,float,float
