match_key,protocol_id,protocol_slug_final
polygon:0x17e9c5b37283ac5fbe527011cec257b832f03eb3,parent#unmapped,unmapped
polygon:0x185a1cfdb7173b224d08e61f1cb21fd5fd6ee8cd,parent#honeypop-dex,honeypop-dex
polygon:0x18c7ad880a07d363f2d034a8523ae34b8068845a,parent#unmapped,unmapped
polygon:0x193bd80c4ab0e8261db61fc3243f7d9643c05e36,parent#unmapped,unmapped
polygon:0x1a0900f58ed4c558a0b35f184276ec9383ff29b0,parent#unmapped,unmapped
polygon:0x1a130be9a0e9046936e5461d3e8727b6af7d0c2c,parent#honeypop-dex,honeypop-dex
polygon:0x1a2ce410a034424b784d4b228f167a061b94cff4,parent#unmapped,unmapped
polygon:0x1a3acf6d19267e2d3e7f898f42803e90c9219062,parent#qidao,qidao
polygon:0x1a40208e9506e08a6f62dbccf8de7387743179e9,parent#folks-finance-xchain,folks-finance-xchain
polygon:0x1b7805e2829fd7d194dcc3078a4199b13c77e467,parent#unmapped,unmapped
polygon:0x1e67124681b402064cd0abe8ed1b5c79d2e02f64,parent#unmapped,unmapped
polygon:0x1f0aa72b980d65518e88841ba1da075bd43fa933,parent#qidao,qidao
polygon:0x1fc39644c58396e567aa44840cf5e5c9696a9a1c,parent#unmapped,unmapped
polygon:0x2046c0416a558c40cb112e5ebb0ca764c3c5c32a,parent#unmapped,unmapped
polygon:0x20d61737f972eecb0af5f0a85ab358cd083dd56a,parent#unmapped,unmapped
polygon:0x216ac39765d920d7f86162daf9be1f045f321a8d,parent#cryptoblades,cryptoblades
polygon:0x2177c77a1f3c4900de7668662706633db4688726,parent#unmapped,unmapped
polygon:0x2255a52cd5549b8aa04e4ed7c8ad730628f6c747,parent#unmapped,unmapped
polygon:0x22a31bd4cb694433b6de19e0acc2899e553e9481,parent#unmapped,unmapped
polygon:0x233a2901eb51380e7bf30fa3d31d4c326471b489,parent#unmapped,unmapped
polygon:0x248eecc8286a8c6484b4a87e1f32f0bc2d7971d4,parent#honeypop-dex,honeypop-dex
polygon:0x24afb3b27156e71e68e292e4ad71db827f83f05c,parent#dpex,dpex
polygon:0x251ca6a70cbd93ccd7039b6b708d4cb9683c266c,parent#unmapped,unmapped
polygon:0x25d28a24ceb6f81015bb0b2007d795acac411b4d,parent#unmapped,unmapped
polygon:0x262b8aa7542004f023b0eb02bc6b96350a02b728,parent#unmapped,unmapped
polygon:0x2791bca1f2de4661ed88a30c99a7a9449aa84174,parent#covo-v2,covo-v2
polygon:0x293f45b6f9751316672da58ae87447d712af85d7,parent#unmapped,unmapped
polygon:0x297df0036835b6bff81980b4d86c3aeecbacf543,parent#unmapped,unmapped
polygon:0x29f1e986fca02b7e54138c04c4f503dddd250558,parent#unmapped,unmapped
polygon:0x2b9299f80a644ca60c0d398e257cb72488875d2a,parent#unmapped,unmapped
polygon:0x2c89bbc92bd86f8075d1decc58c7f4e0107f286b,parent#primex-finance,primex-finance
polygon:0x2e1ad108ff1d8c782fcbbb89aad783ac49586756,parent#unmapped,unmapped
polygon:0x2e4b0fb46a46c90cb410fe676f24e466753b469f,parent#unmapped,unmapped
polygon:0x2f2b6a02a9870d16a2b7126aacd18c99bf235806,parent#unmapped,unmapped
polygon:0x2f3e9e54bd4513d1b49a6d915f9a83310638cfc2,parent#unmapped,unmapped
polygon:0x2f4de75a8e591cbd4d2c0d3aee7c36fe62a64f79,parent#unmapped,unmapped
